bait	prey	significant	HCDP	subcell_localization	logFC_APMS	padj_APMS	logFC_TbID	padj_TbID
Raf1S257L	PSMD12	shared	yes	proteasome	1.24985228904729	7.74173145493347e-07	0.751554517924776	2.87248250613735e-07
MEK2DD	PSMD12	shared	yes	proteasome	1.28968607885468	2.61375717219816e-06	0.734090032089629	4.51784606361909e-09
BrafG469A	PSMD12	TbID	yes	proteasome	-0.267110257687497	0.0764699231733962	0.883519918866924	9.69410245656983e-10
KrasG12D	PSMD12	AP-MS	yes	proteasome	0.98060369617381	3.8500762472475e-07	-0.0156063931071131	0.811916497570346
KrasWT	PSMD12	AP-MS	yes	proteasome	0.932159486781455	1.13533982626499e-06	0.128883664682187	0.0995322307382008
KrasS17N	PSMD12	AP-MS	yes	proteasome	0.971410735981904	9.22986104397232e-06	-0.0905910582331479	0.0786226424998746
KrasG12V	PSMD12	AP-MS	yes	proteasome	0.939310098896966	8.68627860185581e-08	-0.112024822961125	0.0213831522978712
KrasWT	PSMD13	shared	no	proteasome	0.922651549502927	2.80612824585393e-06	0.237946856244012	0.00381824973817999
Raf1S257L	PSMD13	shared	no	proteasome	1.19421561361166	9.18178894750585e-07	0.260492085584198	0.000857098303259594
KrasG12D	PSMD13	AP-MS	no	proteasome	0.851170711159595	1.82823649299259e-06	0.102584111446912	0.087854110802186
KrasG12V	PSMD13	AP-MS	no	proteasome	0.867084891133548	1.57829819267694e-07	0.0461847242238456	0.272704800509156
KrasS17N	PSMD13	AP-MS	no	proteasome	0.949316153032848	1.39536767762812e-06	0.074071973308607	0.108669619463519
Raf1S259F	PSMD13	shared	no	proteasome	1.4715541012898	4.18427794556437e-07	0.43007275232472	3.41590736182539e-06
MEK2DD	PSMD13	shared	no	proteasome	1.36013222073521	1.36717070354e-06	0.289966830786149	6.74900668268751e-05
MEK2DD	PSMD14	shared	no	proteasome	1.38281021794886	1.3219589264388e-06	0.304982459567694	0.0215821291472676
Raf1S259F	PSMD14	shared	no	proteasome	1.23959804986769	7.49142929457646e-06	0.42079854854526	0.00462027563773506
Raf1S257L	PSMD14	AP-MS	no	proteasome	1.17109600713567	1.8888068765824e-06	0.23800230467339	0.108304441496096
KrasG12D	PSMD2	AP-MS	no	proteasome	1.13219751702943	1.50437960531498e-07	-0.020528105960901	0.635293259132446
Raf1S259F	PSMD2	shared	no	proteasome	1.38935706236001	1.69998209065301e-07	0.513919883984039	6.49399440895725e-06
MEK2DD	PSMD2	shared	no	proteasome	1.07990981228403	1.32689087620774e-07	0.612908969909504	1.82525882326376e-06
KrasS17N	PSMD2	AP-MS	no	proteasome	1.11585510025104	3.28980297334516e-07	-0.0993130207014445	0.0180789816031131
KrasWT	PSMD2	AP-MS	no	proteasome	0.977448170256835	1.49903824508913e-06	-0.00197519978732608	0.969504047281124
KrasG12V	PSMD2	AP-MS	no	proteasome	0.996165288898613	4.37617884165601e-08	-0.0610843089797246	0.194922681454997
ERK2WT	PSMD3	AP-MS	no	proteasome	1.01911367401027	7.60321248199274e-06	0.0437181210753337	0.678941302962964
KrasG12D	PSMD4	shared	no	proteasome	0.733029759260235	9.84070666883875e-07	0.23075607597611	0.000594379860054801
KrasS17N	PSMD4	shared	no	proteasome	0.739929779706188	2.59112339276429e-06	0.212601994018225	0.000464620639551775
BrafG469A	PSMD6	TbID	yes	proteasome	-0.406952008014276	0.00783391243455213	0.922853051416955	1.53550031462145e-07
Raf1S259F	PSMD7	shared	no	proteasome	1.69109894477961	4.70576537113725e-08	0.3384412030086	0.000194852732037203
KrasS17N	PSMD7	AP-MS	no	proteasome	1.00536385903294	3.72521007528416e-06	-0.0350508704743753	0.528505448505236
MEK2DD	PSMD7	shared	no	proteasome	1.30243300858851	1.07852201193062e-06	0.332265528634694	0.000351022105282279
Raf1S257L	PSMD7	AP-MS	no	proteasome	1.45116231941517	6.03588148391181e-08	0.130204625877682	0.0852571527896092
KrasG12V	PSMD7	AP-MS	no	proteasome	0.925458254164186	5.95826748860713e-08	-0.0470027439714507	0.448395004768278
KrasG12D	PSMD7	AP-MS	no	proteasome	0.952603098101921	9.16274722241827e-07	-0.0313842477310367	0.650842685776936
KrasWT	PSMD7	AP-MS	no	proteasome	0.890423073182916	2.66062109135098e-06	0.0506219776360268	0.422174069734915
MEK2DD	PSMD9	TbID	no	cytosol	0.0660120338406656	0.634503289745375	1.23486593680995	8.5153915979176e-10
BrafG469A	PSME4	TbID	no	proteasome	0.0686169879702038	0.931865563642514	1.04832642511893	1.45010758914398e-08
HrasS17N	PYGO1	AP-MS	no	NA	1.33470617264287	0.000107046972237527	NA	NA
NrasQ61R	PYGO1	AP-MS	no	NA	1.38434497898968	8.04553221178551e-05	NA	NA
BrafV600E	RAC2	shared	yes	NA	0.916762167014752	0.00617903849461197	1.72615488667052	6.25323151233513e-11
BrafG469A	RAC2	TbID	yes	NA	0.202546441085371	0.501249240174778	0.91291578822828	1.53550031462145e-07
ERK2AA	RAC2	shared	yes	NA	0.703944857123818	0.027344264322094	1.0186676642398	1.12420260985181e-07
Raf1S259F	RAC2	TbID	yes	NA	0.382357133652258	0.20365945053196	1.10544674633598	9.05710862936944e-09
NrasQ61R	RAC2	core	yes	NA	1.75687679041029	3.14500784278627e-05	0.95091125177603	2.09518903136961e-07
MEK2DD	RAC2	shared	yes	NA	1.2211016609135	0.000669040494673565	0.869058363132065	8.56036870436883e-08
NrasQ61R	RAC3	shared	yes	actin_cytoskeleton	1.13942827416187	5.35955397479659e-05	0.444679292548204	0.000260312346841593
MEK2DD	RNF43	AP-MS	yes	NA	1.02654963625148	0.0154738933301233	NA	NA
ArafWT	RUVBL1	shared	no	cytosol	2.37872109625624	3.30595161089574e-09	0.660015645967564	7.53110710992514e-06
ArafS214P	RUVBL1	shared	no	cytosol	1.23444644923853	0.000108415282713708	0.690547013033748	2.92722362424137e-06
ArafD447A	RUVBL1	shared	no	cytosol	1.65356348629086	8.77603669487692e-08	0.605423024956967	1.94665612688662e-05
KrasG12D	SCRIB	shared	yes	plasma_membrane	0.137061567286446	0.0088331290224452	1.22787230531127	3.3332985923247e-08
MEK2WT	SCRIB	shared	yes	plasma_membrane	0.372795340038717	0.0165856624022393	0.968690589720145	2.76589809441876e-08
HrasQ61R	SCRIB	core	yes	plasma_membrane	1.88467197335761	1.22991117629503e-05	2.1062519292406	3.23753125478183e-11
HrasG13R	SCRIB	core	yes	plasma_membrane	2.09379955296761	6.04916500186595e-05	2.220689058312	3.40468403490748e-11
NrasQ61R	SCRIB	core	yes	plasma_membrane	1.97956821240521	2.03968826957446e-09	2.56857877929325	5.00549697190048e-12
MEK1AA	SCRIB	TbID	yes	plasma_membrane	0.146833284589779	0.277959021488979	0.987336505806293	2.72680610714369e-08
NrasQ61K	SCRIB	shared	yes	plasma_membrane	0.912469803669481	1.92474372646365e-05	2.67551417773719	1.81687960085082e-11
MEK1WT	SCRIB	TbID	yes	plasma_membrane	0.0363090495204511	0.854023472581581	1.07437460357143	8.74653599845539e-09
HrasS17N	SFRP1	core	yes	NA	1.10136736770369	0.00138315804772679	1.01706909720374	2.73772630052711e-08
MEK2DD	SNX3	shared	no	early_endosome	0.872203163638066	0.00544034847897377	1.18642569705146	2.6568475375626e-09
MEK2AA	SNX3	TbID	no	early_endosome	0.525521500790091	0.131565649782604	0.927210668919244	1.99856327768647e-08
ERK1DD	SOX7	TbID	no	NA	NA	NA	1.17572181776004	0.00483833851695396
ERK2DD	SOX7	TbID	no	NA	NA	NA	0.84862986420919	0.0168883290311705
ERK2AA	SOX7	TbID	no	NA	NA	NA	1.14576674188043	0.00377807138942335
ERK2WT	SOX7	TbID	no	NA	NA	NA	1.37039850312851	0.00102307299059243
ERK1WT	SOX7	TbID	no	NA	NA	NA	1.50412421806997	0.00121140479224217
ERK1AA	SOX7	TbID	no	NA	NA	NA	0.890883424210498	0.0176042163933665
MEK2DD	TNRC6A	TbID	no	stress_granule	-0.524363184084556	0.000108374541389251	1.22906628657935	1.19466709200473e-08
ERK2WT	TNRC6A	shared	no	stress_granule	0.548297710224438	8.91479082259889e-05	1.95356529244899	4.82563918770094e-10
