Network	Bait	Prey	Bait_uniprot	Prey_uniprot	Interaction	SILAC Ratio               (Prey abundance in EGFRNetmtKRAS-Lo AP/Prey abundance in EV control AP)	Log2 (SILAC ratio)	t-test                                   P value	Significance A	Is significantly rewired (relative to EGFRNetmtKRAS-Hi)?	Is interaction in Bioplex 2.0 (Huttlin et al., 2017)?	Is interaction in Rolland et al., 2014?	Is interaction in IID (Kotlyar et al. 2016)?	Is interaction in Hein et al., 2015?
EGFRNetmtKRAS-Lo	MAP2K2	HSPA4	P36507	P34932	MAP2K2_HSPA4	3.25	1.70	1.04E-05	2.93E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	YWHAB	P36507	P31946	MAP2K2_YWHAB	8.96	3.16	7.91E-08	7.80E-14	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	MAP2K2	DNAJA1	P36507	P31689	MAP2K2_DNAJA1	1.74	0.80	1.24E-06	2.59E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	YWHAQ	P36507	P27348	MAP2K2_YWHAQ	9.49	3.25	6.11E-05	1.83E-14	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	DSP	P36507	P15924	MAP2K2_DSP	4.30	2.10	1.28E-02	3.76E-07	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	HSPA8	P36507	P11142	MAP2K2_HSPA8	10.41	3.38	1.94E-08	1.62E-15	No	Yes	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	HSPA5	P36507	P11021	MAP2K2_HSPA5	6.93	2.79	1.67E-08	3.25E-11	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	ARAF	P36507	P10398	MAP2K2_ARAF	5.96	2.58	2.03E-07	8.10E-10	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	MAP2K2	HSP90AB1	P36507	P08238	MAP2K2_HSP90AB1	8.86	3.15	4.18E-08	1.02E-13	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	HSPA1A	P36507	P08107	MAP2K2_HSPA1A	8.09	3.02	7.85E-08	9.27E-13	No	No	No	No	No
