Network	Bait	Prey	Bait_uniprot	Prey_uniprot	Interaction	SILAC Ratio               (Prey abundance in EGFRNetmtKRAS-Lo AP/Prey abundance in EV control AP)	Log2 (SILAC ratio)	t-test                                   P value	Significance A	Is significantly rewired (relative to EGFRNetmtKRAS-Hi)?	Is interaction in Bioplex 2.0 (Huttlin et al., 2017)?	Is interaction in Rolland et al., 2014?	Is interaction in IID (Kotlyar et al. 2016)?	Is interaction in Hein et al., 2015?
EGFRNetmtKRAS-Lo	RAF1	YWHAE	P04049	P62258	RAF1_YWHAE	2.07	1.05	3.22E-07	1.02E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	RAF1	YWHAG	P04049	P61981	RAF1_YWHAG	2.95	1.56	3.54E-07	2.96E-04	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	RAF1	CCT4	P04049	P50991	RAF1_CCT4	2.62	1.39	3.17E-06	1.08E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RAF1	CCT8	P04049	P50990	RAF1_CCT8	3.14	1.65	2.28E-06	1.39E-04	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	RAF1	CCT3	P04049	P49368	RAF1_CCT3	2.29	1.19	3.10E-05	4.13E-03	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	RAF1	CCT5	P04049	P48643	RAF1_CCT5	1.76	0.81	8.19E-05	3.51E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RAF1	CCT6A	P04049	P40227	RAF1_CCT6A	3.00	1.59	6.90E-06	2.34E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	RAF1	SFN	P04049	P31947	RAF1_SFN	2.19	1.13	4.41E-04	6.19E-03	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	RAF1	YWHAB	P04049	P31946	RAF1_YWHAB	2.08	1.06	6.64E-07	9.54E-03	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	RAF1	YWHAQ	P04049	P27348	RAF1_YWHAQ	2.19	1.13	2.41E-06	6.27E-03	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	RAF1	TCP1	P04049	P17987	RAF1_TCP1	2.21	1.15	7.82E-05	5.67E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RAF1	HSPA8	P04049	P11142	RAF1_HSPA8	1.68	0.75	4.13E-07	4.71E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	RAF1	HSP90AB3P	P04049	Q58FF7	RAF1_HSP90AB3P	5.51	2.46	8.80E-07	3.12E-08	No	No	No	No	No
EGFRNetmtKRAS-Lo	RAF1	HSP90AB1	P04049	P08238	RAF1_HSP90AB1	5.51	2.46	8.80E-07	3.12E-08	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	RAF1	HSP90AA1	P04049	P07900	RAF1_HSP90AA1	5.69	2.51	1.30E-06	1.76E-08	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	RAF1	HSPB1	P04049	P04792	RAF1_HSPB1	2.02	1.02	2.47E-07	1.23E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RAF1	RAF1	P04049	P04049	RAF1_RAF1	11.93	3.58	3.24E-07	2.20E-15	No	No	No	Yes	Yes
EGFRNetmtKRAS-Lo	RAF1	HPX	P04049	P02790	RAF1_HPX	3.54	1.82	7.50E-03	2.96E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	RAF1	BAG2	P04049	O95816	RAF1_BAG2	3.63	1.86	9.77E-07	2.14E-05	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	RAF1	DNAJA2	P04049	O60884	RAF1_DNAJA2	3.48	1.80	3.33E-02	1.91E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RAF1	CALU	P04049	O43852	RAF1_CALU	1.94	0.96	6.05E-07	1.69E-02	No	No	No	Yes	Yes
EGFRNetmtKRAS-Lo	RALB	UQCR10	P11234	Q9UDW1	RALB_UQCR10	5.43	2.44	2.59E-03	4.74E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALB	PHB2	P11234	Q99623	RALB_PHB2	6.37	2.67	3.30E-04	3.37E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALB	MCU	P11234	Q8NE86	RALB_MCU	5.85	2.55	3.45E-04	4.05E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALB	HADHB	P11234	P55084	RALB_HADHB	8.83	3.14	9.29E-04	1.57E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALB	SLC25A1	P11234	P53007	RALB_SLC25A1	6.02	2.59	7.76E-05	3.81E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALB	RANBP2	P11234	P49792	RALB_RANBP2	5.35	2.42	1.06E-02	4.89E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALB	PHB	P11234	P35232	RALB_PHB	5.91	2.56	1.17E-03	3.97E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALB	COX4I1	P11234	P13073	RALB_COX4I1	6.22	2.64	2.00E-03	3.55E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALB	RALB	P11234	P11234	RALB_RALB	6.91	2.79	1.51E-03	2.81E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALB	SLC25A5	P11234	P05141	RALB_SLC25A5	5.43	2.44	1.63E-05	4.74E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALB	MT-CO2	P11234	P00403	RALB_MT-CO2	6.21	2.64	2.60E-03	3.56E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALB	IPO8	P11234	O15397	RALB_IPO8	6.92	2.79	4.38E-04	2.80E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	SEPT9	Q15311	Q9UHD8	RALBP1_SEPT9	3.58	1.84	1.83E-03	3.05E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	LIN7C	Q15311	Q9NUP9	RALBP1_LIN7C	16.67	4.06	8.04E-06	2.35E-19	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	BIRC6	Q15311	Q9NR09	RALBP1_BIRC6	4.35	2.12	1.56E-03	1.82E-06	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	GOPC	Q15311	Q9HD26	RALBP1_GOPC	7.47	2.90	2.19E-02	1.03E-10	No	Yes	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	HOOK2	Q15311	Q96ED9	RALBP1_HOOK2	5.10	2.35	1.72E-04	1.39E-07	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	RALBP1	REPS1	Q15311	Q96D71	RALBP1_REPS1	13.03	3.70	5.07E-06	2.13E-16	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	RALBP1	PPP4R1	Q15311	Q8TF05	RALBP1_PPP4R1	3.98	1.99	1.39E-03	6.87E-06	No	Yes	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	SAPCD2	Q15311	Q86UD0	RALBP1_SAPCD2	6.39	2.68	8.76E-04	2.36E-09	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	PTRF	Q15311	Q6NZI2	RALBP1_PTRF	2.30	1.20	5.64E-04	4.67E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	PHLDB3	Q15311	Q6NSJ2	RALBP1_PHLDB3	5.31	2.41	1.69E-02	6.99E-08	Yes	Yes	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	GRAMD4	Q15311	Q6IC98	RALBP1_GRAMD4	9.43	3.24	4.82E-04	6.24E-13	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	CDC42BPG	Q15311	Q6DT37	RALBP1_CDC42BPG	2.20	1.13	7.13E-03	7.16E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	MPP7	Q15311	Q5T2T1	RALBP1_MPP7	8.85	3.15	1.09E-05	2.62E-12	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	TUBB8	Q15311	Q3ZCM7	RALBP1_TUBB8	1.85	0.89	3.61E-02	2.87E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	CCDC6	Q15311	Q16204	RALBP1_CCDC6	15.78	3.98	1.20E-07	1.13E-18	No	Yes	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	SEPT7	Q15311	Q16181	RALBP1_SEPT7	5.43	2.44	1.32E-05	4.63E-08	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	RALBP1	RALBP1	Q15311	Q15311	RALBP1_RALBP1	43.34	5.44	1.08E-07	2.62E-33	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	GPS2	Q15311	Q13227	RALBP1_GPS2	8.12	3.02	1.39E-03	1.75E-11	No	Yes	Yes	Yes	No
EGFRNetmtKRAS-Lo	RALBP1	DLG1	Q15311	Q12959	RALBP1_DLG1	9.27	3.21	5.97E-05	9.15E-13	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	RALBP1	CSNK2B	Q15311	P67870	RALBP1_CSNK2B	2.58	1.37	4.86E-03	1.54E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	HIST1H4A	Q15311	P62805	RALBP1_HIST1H4A	1.73	0.79	2.50E-02	4.49E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	PSMC5	Q15311	P62195	RALBP1_PSMC5	6.26	2.65	2.54E-06	3.44E-09	No	Yes	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	PPP4C	Q15311	P60510	RALBP1_PPP4C	3.35	1.74	2.59E-02	7.43E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	NES	Q15311	P48681	RALBP1_NES	4.92	2.30	2.40E-03	2.54E-07	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	DSP	Q15311	P15924	RALBP1_DSP	2.56	1.35	1.48E-03	1.68E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	RALA	Q15311	P11233	RALBP1_RALA	6.77	2.76	1.34E-04	7.49E-10	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	RALBP1	HSPA5	Q15311	P11021	RALBP1_HSPA5	2.13	1.09	3.20E-05	9.47E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	HCK	Q15311	P08631	RALBP1_HCK	36.82	5.20	2.14E-03	1.22E-30	No	No	No	No	No
EGFRNetmtKRAS-Lo	RALBP1	AP2A1	Q15311	O95782	RALBP1_AP2A1	2.08	1.05	1.43E-04	1.15E-02	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	RALBP1	PPL	Q15311	O60437	RALBP1_PPL	2.78	1.48	6.62E-03	6.80E-04	No	No	Yes	Yes	No
EGFRNetmtKRAS-Lo	RALBP1	ABLIM1	Q15311	O14639	RALBP1_ABLIM1	1.92	0.94	8.20E-04	2.20E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	MRPL42	P20936	Q9Y6G3	RASA1_MRPL42	1.28	0.36	6.04E-04	4.01E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	MRPL11	P20936	Q9Y3B7	RASA1_MRPL11	1.47	0.56	1.89E-03	2.96E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	DPP7	P20936	Q9UHL4	RASA1_DPP7	1.46	0.55	1.29E-04	3.24E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	MRPL15	P20936	Q9P015	RASA1_MRPL15	1.29	0.37	4.23E-02	3.57E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	MRPL44	P20936	Q9H9J2	RASA1_MRPL44	1.30	0.38	4.23E-03	3.10E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	MRPL18	P20936	Q9H0U6	RASA1_MRPL18	1.35	0.43	2.98E-02	1.70E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	MRPL53	P20936	Q96EL3	RASA1_MRPL53	1.30	0.37	1.98E-02	3.40E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	MRPL24	P20936	Q96A35	RASA1_MRPL24	1.30	0.38	1.52E-02	3.28E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	MRPL10	P20936	Q7Z7H8	RASA1_MRPL10	1.27	0.35	1.22E-03	4.47E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	MRPL2	P20936	Q5T653	RASA1_MRPL2	1.34	0.42	6.75E-03	1.99E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	PRPSAP1	P20936	Q14558	RASA1_PRPSAP1	1.42	0.51	7.51E-04	6.30E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	PRPS1	P20936	P60891	RASA1_PRPS1	1.42	0.50	6.33E-03	6.45E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	ARPC4	P20936	P59998	RASA1_ARPC4	1.55	0.64	1.53E-02	7.84E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	PGD	P20936	P52209	RASA1_PGD	1.32	0.40	2.23E-02	2.50E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	ACADVL	P20936	P49748	RASA1_ACADVL	1.32	0.40	2.06E-02	2.38E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	FASN	P20936	P49327	RASA1_FASN	1.28	0.36	3.56E-02	4.01E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	S100A4	P20936	P26447	RASA1_S100A4	4.01	2.00	2.28E-05	2.63E-24	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	FLNA	P20936	P21333	RASA1_FLNA	1.29	0.36	2.06E-03	3.82E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	RASA1	P20936	P20936	RASA1_RASA1	6.66	2.74	4.60E-09	1.07E-43	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	RASA1	JUP	P20936	P14923	RASA1_JUP	3.51	1.81	1.41E-02	3.37E-20	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	PRPS2	P20936	P11908	RASA1_PRPS2	1.43	0.52	1.50E-02	5.18E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	HSPB1	P20936	P04792	RASA1_HSPB1	1.60	0.68	3.99E-03	3.66E-04	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	PRPSAP2	P20936	O60256	RASA1_PRPSAP2	1.41	0.49	2.47E-02	7.37E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	ARPC5	P20936	O15511	RASA1_ARPC5	1.31	0.39	2.78E-02	2.91E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	ARPC1B	P20936	O15143	RASA1_ARPC1B	1.41	0.50	2.78E-02	6.91E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	PPP6C	P20936	O00743	RASA1_PPP6C	1.28	0.36	3.59E-02	3.88E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RASA1	MYO1C	P20936	O00159	RASA1_MYO1C	1.57	0.65	3.60E-04	6.36E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	NUBP2	P61586	Q9Y5Y2	RHOA_NUBP2	5.33	2.41	4.93E-02	1.33E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	RHOA	PDP1	P61586	Q9P0J1	RHOA_PDP1	4.52	2.18	2.48E-02	2.25E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	TECR	P61586	Q9NZ01	RHOA_TECR	5.01	2.33	1.87E-02	1.63E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	ATAD3A	P61586	Q9NVI7	RHOA_ATAD3A	4.57	2.19	9.33E-04	2.17E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	AGPAT5	P61586	Q9NUQ2	RHOA_AGPAT5	6.27	2.65	3.91E-02	7.61E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	TUBB6	P61586	Q9BUF5	RHOA_TUBB6	3.60	1.85	3.73E-02	4.36E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	TUBA1C	P61586	Q9BQE3	RHOA_TUBA1C	3.77	1.91	8.99E-04	3.85E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	IPO9	P61586	Q96P70	RHOA_IPO9	5.65	2.50	1.01E-02	1.10E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	GCN1L1	P61586	Q92616	RHOA_GCN1L1	4.63	2.21	3.06E-02	2.10E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	THEM6	P61586	Q8WUY1	RHOA_THEM6	4.44	2.15	4.45E-02	2.38E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	IPO4	P61586	Q8TEX9	RHOA_IPO4	4.23	2.08	3.35E-02	2.76E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	CHPF	P61586	Q8IZ52	RHOA_CHPF	3.90	1.96	1.15E-02	3.50E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	TCEB2	P61586	Q15370	RHOA_TCEB2	8.72	3.12	2.11E-03	2.16E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	FAT1	P61586	Q14517	RHOA_FAT1	5.36	2.42	9.00E-03	1.31E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	SLC25A3	P61586	Q00325	RHOA_SLC25A3	4.18	2.06	5.80E-05	2.86E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	PRKDC	P61586	P78527	RHOA_PRKDC	3.53	1.82	1.03E-02	4.62E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	TUBB4B	P61586	P68371	RHOA_TUBB4B	5.15	2.36	3.20E-03	1.49E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	RHOC	P61586	P08134	RHOA_RHOC	7.77	2.96	1.13E-02	3.42E-03	No	Yes	No	No	No
EGFRNetmtKRAS-Lo	RHOA	RHOA	P61586	P61586	RHOA_RHOA	7.77	2.96	1.13E-02	3.42E-03	Yes	No	No	Yes	Yes
EGFRNetmtKRAS-Lo	RHOA	GEMIN4	P61586	P57678	RHOA_GEMIN4	3.63	1.86	4.14E-02	4.25E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	TMEM33	P61586	P57088	RHOA_TMEM33	3.70	1.89	5.53E-05	4.04E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	SLC16A1	P61586	P53985	RHOA_SLC16A1	3.65	1.87	9.43E-05	4.20E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	RAP1GDS1	P61586	P52306	RHOA_RAP1GDS1	13.66	3.77	9.14E-04	2.98E-04	Yes	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	RHOA	CTNNB1	P61586	P35222	RHOA_CTNNB1	5.15	2.36	3.13E-03	1.49E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	CTNNA1	P61586	P35221	RHOA_CTNNA1	4.32	2.11	4.10E-03	2.58E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	DNAJA1	P61586	P31689	RHOA_DNAJA1	3.46	1.79	2.96E-03	4.85E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	CAD	P61586	P27708	RHOA_CAD	5.07	2.34	1.30E-02	1.57E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	CTNNA2	P61586	P26232	RHOA_CTNNA2	5.33	2.41	1.13E-02	1.33E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	CDH3	P61586	P22223	RHOA_CDH3	5.28	2.40	9.03E-04	1.37E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	COX5A	P61586	P20674	RHOA_COX5A	3.80	1.93	6.75E-04	3.76E-02	No	No	No	No	Yes
EGFRNetmtKRAS-Lo	RHOA	HSPA6	P61586	P17066	RHOA_HSPA6	7.80	2.96	1.91E-04	3.38E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	ATP2A2	P61586	P16615	RHOA_ATP2A2	5.74	2.52	9.21E-03	1.04E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	JUP	P61586	P14923	RHOA_JUP	5.37	2.43	8.81E-03	1.30E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	COX7A2	P61586	P14406	RHOA_COX7A2	4.12	2.04	2.71E-05	2.97E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	COX4I1	P61586	P13073	RHOA_COX4I1	4.60	2.20	1.68E-03	2.14E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	CDH1	P61586	P12830	RHOA_CDH1	6.21	2.64	3.38E-02	7.87E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	HSPA8	P61586	P11142	RHOA_HSPA8	6.36	2.67	2.21E-03	7.25E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	SLC3A2	P61586	P08195	RHOA_SLC3A2	3.98	1.99	2.29E-03	3.29E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	HSPA1A	P61586	P08107	RHOA_HSPA1A	4.43	2.15	9.28E-04	2.40E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	UQCRH	P61586	P07919	RHOA_UQCRH	3.65	1.87	6.63E-05	4.21E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	TUBB	P61586	P07437	RHOA_TUBB	4.12	2.04	1.26E-02	2.97E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	SLC25A5	P61586	P05141	RHOA_SLC25A5	4.01	2.00	6.09E-06	3.22E-02	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	RHOA	ATP1A1	P61586	P05023	RHOA_ATP1A1	4.62	2.21	1.35E-02	2.10E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	HSPB1	P61586	P04792	RHOA_HSPB1	3.84	1.94	1.30E-04	3.64E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	MT-CO2	P61586	P00403	RHOA_MT-CO2	5.91	2.56	1.09E-03	9.36E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	ERLIN2	P61586	O94905	RHOA_ERLIN2	5.01	2.33	1.70E-03	1.63E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	ERLIN1	P61586	O75477	RHOA_ERLIN1	4.75	2.25	4.50E-03	1.94E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	PPM1G	P61586	O15355	RHOA_PPM1G	4.06	2.02	3.98E-02	3.12E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RHOA	PPP6C	P61586	O00743	RHOA_PPP6C	5.27	2.40	1.03E-02	1.38E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIN1	SPIN1	Q13671	Q9Y657	RIN1_SPIN1	1.55	0.63	2.72E-02	8.59E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIN1	C11ORF84	Q13671	Q9BUA3	RIN1_C11ORF84	1.48	0.57	2.39E-02	1.55E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIN1	MYCBP	Q13671	Q99417	RIN1_MYCBP	1.41	0.50	3.52E-02	3.00E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIN1	RIN1	Q13671	Q13671	RIN1_RIN1	14.85	3.89	2.31E-02	1.70E-48	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIN1	YWHAH	Q13671	Q04917	RIN1_YWHAH	5.93	2.57	3.33E-02	2.87E-22	No	Yes	No	No	No
EGFRNetmtKRAS-Lo	RIN1	OTUD4	Q13671	Q01804	RIN1_OTUD4	1.36	0.44	3.55E-02	4.65E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIN1	RBM10	Q13671	P98175	RIN1_RBM10	1.63	0.70	4.28E-02	4.00E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIN1	YWHAE	Q13671	P62258	RIN1_YWHAE	4.71	2.23	2.49E-02	2.55E-17	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	RIN1	YWHAG	Q13671	P61981	RIN1_YWHAG	3.33	1.74	2.47E-02	3.42E-11	No	Yes	No	No	No
EGFRNetmtKRAS-Lo	RIN1	HIST1H1E	Q13671	P10412	RIN1_HIST1H1E	1.42	0.51	2.85E-02	2.70E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIPK1	THRAP3	Q13546	Q9Y2W1	RIPK1_THRAP3	2.07	1.05	3.91E-02	1.21E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIPK1	MRPS17	Q13546	Q9Y2R5	RIPK1_MRPS17	2.17	1.12	2.73E-02	8.13E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIPK1	SRRM2	Q13546	Q9UQ35	RIPK1_SRRM2	3.35	1.74	6.04E-05	8.70E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIPK1	ARGLU1	Q13546	Q9NWB6	RIPK1_ARGLU1	1.84	0.88	1.12E-04	2.92E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIPK1	PRMT1	Q13546	Q99873	RIPK1_PRMT1	2.16	1.11	5.78E-03	8.60E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIPK1	RIPK1	Q13546	Q13546	RIPK1_RIPK1	12.43	3.64	2.88E-06	2.25E-15	Yes	No	Yes	Yes	No
EGFRNetmtKRAS-Lo	RIPK1	MRPS6	Q13546	P82932	RIPK1_MRPS6	2.00	1.00	2.15E-02	1.58E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIPK1	CSNK2A3 	Q13546	Q8NEV1	RIPK1_CSNK2A3	2.50	1.32	5.31E-07	2.25E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIPK1	CSNK2A1	Q13546	P68400	RIPK1_CSNK2A1	2.50	1.32	5.31E-07	2.25E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIPK1	SNRPD2	Q13546	P62316	RIPK1_SNRPD2	1.84	0.88	1.70E-06	3.00E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIPK1	SNRPD1	Q13546	P62314	RIPK1_SNRPD1	1.75	0.81	3.45E-07	4.17E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIPK1	ABCE1	Q13546	P61221	RIPK1_ABCE1	1.81	0.86	1.81E-02	3.27E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIPK1	TPP2	Q13546	P29144	RIPK1_TPP2	1.81	0.86	1.84E-06	3.26E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIPK1	P4HB	Q13546	P07237	RIPK1_P4HB	1.77	0.82	3.78E-02	3.88E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIPK1	HSPB1	Q13546	P04792	RIPK1_HSPB1	1.84	0.88	5.59E-04	2.99E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RIPK1	BAG2	Q13546	O95816	RIPK1_BAG2	2.27	1.18	2.05E-03	5.49E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	RPS6KA1	HSP90AB2P	Q15418	Q58FF8	RPS6KA1_HSP90AB2P	5.46	2.45	4.25E-08	3.51E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	RPS6KA1	CDC37	Q15418	Q16543	RPS6KA1_CDC37	7.23	2.85	5.37E-10	1.74E-02	No	No	No	Yes	No
