Network	Bait	Prey	Bait_UniProt	Prey_UniProt	Interaction	SILAC Ratio               (Prey abundance in EGFRNetmtKRAS-Hi AP/Prey abundance in EV control AP)	Log2 (SILAC ratio)	t-test                    P value	Significance A	Is significantly rewired (relative to EGFRNetmtKRAS-Lo)?	Is interaction in Bioplex 2.0 (Huttlin et al., 2017)?	Is interaction in Rolland et al., 2014?	Is interaction in IID (Kotlyar et al. 2016)?	Is interaction in Hein et al., 2015?
EGFRNetmtKRAS-Hi	PAK1	PSAP	Q13153	P07602	PAK1_PSAP	1.57	0.65	3.68E-02	3.73E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	TUBB	Q13153	P07437	PAK1_TUBB	2.24	1.16	1.26E-07	7.02E-04	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	SLC25A5	Q13153	P05141	PAK1_SLC25A5	3.48	1.80	1.86E-07	3.91E-07	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	HSPB1	Q13153	P04792	PAK1_HSPB1	1.57	0.65	7.98E-04	3.58E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	AIFM1	Q13153	O95831	PAK1_AIFM1	3.20	1.68	2.61E-03	2.13E-06	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	UBR5	Q13153	O95071	PAK1_UBR5	1.72	0.79	3.75E-02	1.52E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	DNAJA2	Q13153	O60884	PAK1_DNAJA2	1.92	0.94	8.17E-03	4.73E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	DPM1	Q13153	O60762	PAK1_DPM1	2.01	1.01	1.77E-02	2.82E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	PRPSAP2	Q13153	O60256	PAK1_PRPSAP2	2.86	1.52	1.82E-03	1.55E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	XPO1	Q13153	O14980	PAK1_XPO1	1.76	0.81	6.78E-04	1.27E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	GTF3C5	O15530	Q9Y5Q8	PDPK1_GTF3C5	2.25	1.17	1.17E-02	8.45E-06	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	TMED7	O15530	Q9Y3B3	PDPK1_TMED7	1.60	0.68	8.72E-03	5.82E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	ACOT9	O15530	Q9Y305	PDPK1_ACOT9	1.47	0.56	6.18E-03	1.86E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	TMEM161A	O15530	Q9NX61	PDPK1_TMEM161A	1.37	0.46	4.67E-02	4.20E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	GRPEL1	O15530	Q9HAV7	PDPK1_GRPEL1	2.47	1.30	2.33E-04	8.47E-07	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	DDX24	O15530	Q9GZR7	PDPK1_DDX24	5.54	2.47	1.29E-03	8.67E-20	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	OSBPL8	O15530	Q9BZF1	PDPK1_OSBPL8	6.50	2.70	5.08E-04	2.79E-23	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	TCF25	O15530	Q9BQ70	PDPK1_TCF25	1.43	0.52	4.30E-03	2.64E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	SLC29A1	O15530	Q99808	PDPK1_SLC29A1	1.56	0.64	2.43E-02	8.52E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	SNX18	O15530	Q96RF0	PDPK1_SNX18	7.96	2.99	1.86E-02	4.21E-28	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	LRRC59	O15530	Q96AG4	PDPK1_LRRC59	1.49	0.58	9.07E-03	1.56E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	USP7	O15530	Q93009	PDPK1_USP7	1.90	0.93	5.22E-04	3.09E-04	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	GLG1	O15530	Q92896	PDPK1_GLG1	4.14	2.05	4.67E-04	3.20E-14	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	HSPH1	O15530	Q92598	PDPK1_HSPH1	2.97	1.57	2.46E-07	3.93E-09	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	PRPF31	O15530	Q8WWY3	PDPK1_PRPF31	1.36	0.45	1.51E-02	4.69E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	TBC1D15	O15530	Q8TC07	PDPK1_TBC1D15	4.92	2.30	1.51E-02	2.05E-17	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	PTRF	O15530	Q6NZI2	PDPK1_PTRF	4.14	2.05	1.07E-04	3.23E-14	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	CDC37	O15530	Q16543	PDPK1_CDC37	2.53	1.34	6.09E-03	4.27E-07	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	PDPK1	CHD4	O15530	Q14839	PDPK1_CHD4	1.41	0.49	7.13E-03	3.27E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	FLNC	O15530	Q14315	PDPK1_FLNC	1.42	0.51	4.08E-04	2.88E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	SQSTM1	O15530	Q13501	PDPK1_SQSTM1	4.04	2.01	2.62E-04	8.28E-14	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	MTA1	O15530	Q13330	PDPK1_MTA1	1.75	0.81	1.25E-03	1.32E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	CHAF1B	O15530	Q13112	PDPK1_CHAF1B	3.10	1.63	5.10E-03	1.06E-09	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	ASPH	O15530	Q12797	PDPK1_ASPH	1.72	0.78	4.70E-02	1.86E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	DHX9	O15530	Q08211	PDPK1_DHX9	1.68	0.75	2.32E-03	2.71E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	YWHAH	O15530	Q04917	PDPK1_YWHAH	2.41	1.27	7.81E-07	1.54E-06	Yes	No	No	Yes	No
EGFRNetmtKRAS-Hi	PDPK1	AKAP12	O15530	Q02952	PDPK1_AKAP12	1.44	0.53	1.93E-02	2.37E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	HSPG2	O15530	P98160	PDPK1_HSPG2	5.25	2.39	1.61E-04	1.12E-18	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	GTF2I	O15530	P78347	PDPK1_GTF2I	4.92	2.30	2.42E-05	2.05E-17	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	RPL38	O15530	P63173	PDPK1_RPL38	1.87	0.90	3.69E-02	4.29E-04	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	YWHAZ	O15530	P63104	PDPK1_YWHAZ	1.48	0.57	7.23E-05	1.68E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	YWHAE	O15530	P62258	PDPK1_YWHAE	2.27	1.18	4.52E-10	6.45E-06	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	YWHAG	O15530	P61981	PDPK1_YWHAG	1.72	0.78	7.28E-06	1.93E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	HADHB	O15530	P55084	PDPK1_HADHB	7.44	2.90	2.02E-03	1.95E-26	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	CSNK1E	O15530	P49674	PDPK1_CSNK1E	4.02	2.01	5.71E-04	1.04E-13	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	CSNK1D	O15530	P48730	PDPK1_CSNK1D	4.02	2.01	5.71E-04	1.04E-13	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	PRKCI	O15530	P41743	PDPK1_PRKCI	4.53	2.18	2.21E-02	7.86E-16	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	PDPK1	HADHA	O15530	P40939	PDPK1_HADHA	5.05	2.34	1.27E-03	6.20E-18	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	HSPA9	O15530	P38646	PDPK1_HSPA9	3.98	1.99	1.16E-05	1.41E-13	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	GPC1	O15530	P35052	PDPK1_GPC1	2.99	1.58	4.13E-03	3.33E-09	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	HSPA4	O15530	P34932	PDPK1_HSPA4	2.47	1.31	1.58E-05	7.84E-07	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	SFN	O15530	P31947	PDPK1_SFN	1.78	0.83	4.33E-05	1.05E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	YWHAB	O15530	P31946	PDPK1_YWHAB	1.58	0.66	1.71E-06	6.92E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	UQCRC1	O15530	P31930	PDPK1_UQCRC1	2.19	1.13	9.70E-03	1.49E-05	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	SDC4	O15530	P31431	PDPK1_SDC4	6.40	2.68	4.91E-04	6.40E-23	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	POLR2A	O15530	P24928	PDPK1_POLR2A	1.42	0.51	1.48E-02	2.84E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	UQCRC2	O15530	P22695	PDPK1_UQCRC2	2.61	1.38	2.67E-04	1.83E-07	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	SDC1	O15530	P18827	PDPK1_SDC1	34.77	5.12	2.33E-03	5.90E-78	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	HSPA6	O15530	P17066	PDPK1_HSPA6	5.99	2.58	1.57E-04	1.85E-21	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	CD44	O15530	P16070	PDPK1_CD44	5.23	2.39	4.18E-04	1.32E-18	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	HSPA8	O15530	P11142	PDPK1_HSPA8	4.88	2.29	9.08E-07	2.93E-17	Yes	Yes	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	HSPA5	O15530	P11021	PDPK1_HSPA5	3.39	1.76	1.98E-06	5.58E-11	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	FGF2	O15530	P09038	PDPK1_FGF2	12.61	3.66	5.12E-03	6.98E-41	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	HSPA1A	O15530	P08107	PDPK1_HSPA1A	2.86	1.52	3.80E-05	1.32E-08	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	GPC4	O15530	O75487	PDPK1_GPC4	3.56	1.83	4.65E-03	9.33E-12	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	ROCK2	O15530	O75116	PDPK1_ROCK2	2.95	1.56	1.96E-02	5.06E-09	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	PDPK2	O15530	Q6A1A2	PDPK1_PDPK2	14.23	3.83	4.57E-08	1.16E-44	No	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	PDPK1	O15530	O15530	PDPK1_PDPK1	14.23	3.83	4.57E-08	1.16E-44	Yes	No	No	Yes	No
EGFRNetmtKRAS-Hi	PDPK1	AGRN	O15530	O00468	PDPK1_AGRN	6.68	2.74	1.15E-03	6.73E-24	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PDPK1	POLRMT	O15530	O00411	PDPK1_POLRMT	3.21	1.68	3.60E-05	3.52E-10	Yes	No	No	No	No
