uniprot_a	uniprot_b	gene_a	gene_b	method	det_method	first_author	reference	mi-score	expansion_methd	role_a	role_b
uniprotkb:P01112	uniprotkb:Q8WV19	HRAS	SFT2D1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:O95208	HRAS	EPN2	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q5SWX8	HRAS	ODR4	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q9BRX8	HRAS	PRXL2A	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:O60245	HRAS	PCDH7	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q96A57	HRAS	TMEM230	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q6UWI4	HRAS	SHISA2	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q92738	HRAS	USP6NL	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:O14653	HRAS	GOSR2	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:O60279	HRAS	SUSD5	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q8N8Z6	HRAS	DCBLD1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q6P9B6	HRAS	MEAK7	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q5HYI8	HRAS	RABL3	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:A4D1S0	HRAS	KLRG2	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q9H2J7	HRAS	SLC6A15	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q5SQN1	HRAS	SNAP47	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q5VU97	HRAS	CACHD1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q8IWE4	HRAS	DCUN1D3	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q9Y394	HRAS	DHRS7	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q8N0U8	HRAS	VKORC1L1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q9HDC5	HRAS	JPH1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q9Y6A9	HRAS	SPCS1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q9NUE0	HRAS	ZDHHC18	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:O14654	HRAS	IRS4	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:O95379	HRAS	TNFAIP8	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q99618	HRAS	CDCA3	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q9NZ43	HRAS	USE1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q9NW97	HRAS	TMEM51	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q96GF1	HRAS	RNF185	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q9H2G9	HRAS	BLZF1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.66	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:O14681	HRAS	EI24	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q15768	HRAS	EFNB3	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q13585	HRAS	GPR50	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:O94854	HRAS	MACF1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q8IXS8	HRAS	HYCC2	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:O00329-2	HRAS	PIK3CD	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Fransson S. et al.(2012)	intact:EBI-6470755|pubmed:22020336|imex:IM-18635	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q8IZY5	HRAS	BLID	psi-mi:"MI:0397"(two hybrid array)	psi-mi:"MI:0915"(physical association)	Arroyo R. et al.(2015)	intact:EBI-9063656|pubmed:25640309|imex:IM-21668	intact-miscore:0.37	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:P09341	HRAS	CXCL1	psi-mi:"MI:0397"(two hybrid array)	psi-mi:"MI:0915"(physical association)	Arroyo R. et al.(2015)	intact:EBI-9063656|pubmed:25640309|imex:IM-21668	intact-miscore:0.37	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:P09341	HRAS	CXCL1	psi-mi:"MI:0397"(two hybrid array)	psi-mi:"MI:0915"(physical association)	Arroyo R. et al.(2015)	intact:EBI-9063656|pubmed:25640309|imex:IM-21668	intact-miscore:0.37	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q13007	HRAS	IL24	psi-mi:"MI:0397"(two hybrid array)	psi-mi:"MI:0915"(physical association)	Arroyo R. et al.(2015)	intact:EBI-9063656|pubmed:25640309|imex:IM-21668	intact-miscore:0.37	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q9UI38	HRAS	PRSS50	psi-mi:"MI:0397"(two hybrid array)	psi-mi:"MI:0915"(physical association)	Arroyo R. et al.(2015)	intact:EBI-9063656|pubmed:25640309|imex:IM-21668	intact-miscore:0.37	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q9NS23-2	HRAS	RASSF1	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0915"(physical association)	Ortiz-Vega S. et al.(2002)	intact:EBI-1992349|pubmed:11857081|imex:IM-19882	intact-miscore:0.52	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q9NS23-2	HRAS	RASSF1	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0915"(physical association)	Ortiz-Vega S. et al.(2002)	intact:EBI-1992349|pubmed:11857081|imex:IM-19882	intact-miscore:0.52	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q9NS23-2	HRAS	RASSF1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Ortiz-Vega S. et al.(2002)	intact:EBI-1992349|pubmed:11857081|imex:IM-19882	intact-miscore:0.52	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P62258	RAF1	YWHAE	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	So J. et al.(2015)	intact:EBI-10054708|pubmed:25852190|imex:IM-23674	intact-miscore:0.91	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P62258	RAF1	YWHAE	psi-mi:"MI:0018"(two hybrid)	psi-mi:"MI:0915"(physical association)	Conklin DS. et al.(1995)	intact:EBI-2541838|mint:MINT-5220486|pubmed:7644510|imex:IM-19480	intact-miscore:0.91	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P62258	RAF1	YWHAE	psi-mi:"MI:0018"(two hybrid)	psi-mi:"MI:0915"(physical association)	Conklin DS. et al.(1995)	intact:EBI-2541838|mint:MINT-5220486|pubmed:7644510|imex:IM-19480	intact-miscore:0.91	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P62258	RAF1	YWHAE	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kennedy SA et al.(2019)	intact:EBI-22274189|pubmed:31980649|imex:IM-26434	intact-miscore:0.91	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P06493	RAF1	CDK1	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0914"(association)	Buljan M. et al.(2020)	intact:EBI-27101182|doi:10.1016/j.molcel.2020.07.001|pubmed:32707033|imex:IM-29257	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P33992	RAF1	MCM5	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0914"(association)	Buljan M. et al.(2020)	intact:EBI-27101182|doi:10.1016/j.molcel.2020.07.001|pubmed:32707033|imex:IM-29257	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P50454	RAF1	SERPINH1	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0914"(association)	Buljan M. et al.(2020)	intact:EBI-27101182|doi:10.1016/j.molcel.2020.07.001|pubmed:32707033|imex:IM-29257	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P62258	RAF1	YWHAE	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0914"(association)	Buljan M. et al.(2020)	intact:EBI-27101182|doi:10.1016/j.molcel.2020.07.001|pubmed:32707033|imex:IM-29257	intact-miscore:0.91	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:O94979	RAF1	SEC31A	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Luis F. Iglesias-Martinez et al.(2023)	intact:EBI-40206361|pubmed:37045861|imex:IM-29658	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P04843	RAF1	RPN1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Luis F. Iglesias-Martinez et al.(2023)	intact:EBI-40206361|pubmed:37045861|imex:IM-29658	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P60842	RAF1	EIF4A1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Luis F. Iglesias-Martinez et al.(2023)	intact:EBI-40206361|pubmed:37045861|imex:IM-29658	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P62258	RAF1	YWHAE	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Luis F. Iglesias-Martinez et al.(2023)	intact:EBI-40206361|pubmed:37045861|imex:IM-29658	intact-miscore:0.91	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:Q9NYA4	RAF1	MTMR4	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Luis F. Iglesias-Martinez et al.(2023)	intact:EBI-40206361|pubmed:37045861|imex:IM-29658	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P62258	RAF1	YWHAE	psi-mi:"MI:0030"(cross-linking study)	psi-mi:"MI:0915"(physical association)	Segal D. et al.(2023)	intact:EBI-40276403|pubmed:36931259|imex:IM-29717	intact-miscore:0.91	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P62258	RAF1	YWHAE	psi-mi:"MI:0030"(cross-linking study)	psi-mi:"MI:0915"(physical association)	Segal D. et al.(2023)	intact:EBI-40276403|pubmed:36931259|imex:IM-29717	intact-miscore:0.91	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P62258	RAF1	YWHAE	psi-mi:"MI:0030"(cross-linking study)	psi-mi:"MI:0915"(physical association)	Segal D. et al.(2023)	intact:EBI-40276403|pubmed:36931259|imex:IM-29717	intact-miscore:0.91	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P06400	RAF1	RB1	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Singh S. et al.(2010)	intact:EBI-4370902|pubmed:21139044|imex:IM-17051	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P62258	RAF1	YWHAE	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	intact-miscore:0.91	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P28482	uniprotkb:P29353	MAPK1	SHC1	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0915"(physical association)	Suen KM. et al.(2013)	intact:EBI-16044838|doi:10.1038/nsmb.2557|pubmed:23584453|imex:IM-21870	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P28482	uniprotkb:Q15418	MAPK1	RPS6KA1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Swaney DL. et al.(2021)	intact:EBI-34583960|pubmed:34591642|imex:IM-29816	intact-miscore:0.9	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P28482	uniprotkb:A6NHR9	MAPK1	SMCHD1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Swaney DL. et al.(2021)	intact:EBI-34583960|pubmed:34591642|imex:IM-29816	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P28482	uniprotkb:Q9BSJ2	MAPK1	TUBGCP2	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kennedy SA et al.(2019)	intact:EBI-22274189|pubmed:31980649|imex:IM-26434	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P28482	uniprotkb:Q15418	MAPK1	RPS6KA1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kennedy SA et al.(2019)	intact:EBI-22274189|pubmed:31980649|imex:IM-26434	intact-miscore:0.9	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P28482	uniprotkb:P23258	MAPK1	TUBG1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kennedy SA et al.(2019)	intact:EBI-22274189|pubmed:31980649|imex:IM-26434	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P28482	uniprotkb:O15027	MAPK1	SEC16A	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kennedy SA et al.(2019)	intact:EBI-22274189|pubmed:31980649|imex:IM-26434	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P28482	uniprotkb:Q15418	MAPK1	RPS6KA1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Huttlin EL. et al.(2021)	intact:EBI-27103963|doi:10.1016/j.cell.2021.04.011|pubmed:33961781|imex:IM-29278	intact-miscore:0.9	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P28482	uniprotkb:Q12913	MAPK1	PTPRJ	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Sacco F. et al.(2009)	intact:EBI-7029532|doi:10.1074/jbc.M109.002758|mint:MINT-7044905|mint:MINT-7043168|pubmed:19494114	intact-miscore:0.58	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P10398	uniprotkb:P62987	ARAF	UBA52	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kennedy SA et al.(2019)	intact:EBI-22274189|pubmed:31980649|imex:IM-26434	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
