ERK	MEK	RAF	RAS	Gene.names
NEFL	0	0	1	0	NEFL
NEK3	1	0	0	0	NEK3
NEK8	0	0	1	0	NEK8
NELFA	1	0	0	0	NELFA
NEO1	1	0	0	0	NEO1
NFE2L1	1	0	0	0	NFE2L1
NFU1	0	0	0	1	NFU1
NISCH	0	0	1	0	NISCH
NKAPL	0	0	0	1	NKAPL
NLGN4Y	1	0	0	0	NLGN4Y
NMU	0	0	1	0	NMU
NOTCH1	1	0	0	0	NOTCH1
NR2F1	0	0	1	0	NR2F1
NR2F2	0	0	0	1	NR2F2
NRAS	0	0	1	1	NRAS
NRBP1	0	0	1	0	NRBP1
NRBP2	0	0	1	0	NRBP2
NT5C	0	0	1	0	NT5C
NTMT1	0	1	0	0	NTMT1
NTS	0	1	1	1	NTS
NUCKS1	0	0	0	1	NUCKS1
NUDC	0	0	1	0	NUDC
NUDCD2	0	0	1	0	NUDCD2
NUDCD3	0	0	1	0	NUDCD3
NUDT4B	0	0	1	0	NUDT4B
NUP58	1	0	0	0	NUP58
NUS1	0	0	1	0	NUS1
NUTF2	0	0	0	1	NUTF2
OBI1	0	0	1	0	OBI1
OCIAD2	1	0	0	0	OCIAD2
OCLN	0	0	0	1	OCLN
OGDH	0	0	1	0	OGDH
OGFR	1	0	0	0	OGFR
OLA1	0	0	0	1	OLA1
ORMDL2	0	1	1	1	ORMDL2
OS9	0	0	1	1	OS9
OSER1	0	1	0	0	OSER1
OTUD3	0	1	0	0	OTUD3
OTUD4	0	1	0	0	OTUD4
OTUD5	1	0	0	0	OTUD5
OTULINL	0	0	0	1	OTULINL
P3H1	0	0	1	0	P3H1
P3H2	0	0	1	0	P3H2
P3H3	0	0	1	0	P3H3
P3H4	0	0	1	1	P3H4
P4HA1	0	0	1	0	P4HA1
P4HA2	0	0	1	0	P4HA2
P4HB	0	0	1	0	P4HB
PADI2	0	0	1	0	PADI2
PAFAH1B2	0	0	1	0	PAFAH1B2
PAICS	0	0	0	1	PAICS
PAIP2	1	1	0	1	PAIP2
PALMD	1	0	0	0	PALMD
PAQR7	0	0	0	1	PAQR7
PAQR9	0	0	0	1	PAQR9
PARVA	1	0	0	0	PARVA
PARVB	1	0	0	0	PARVB
PASK	0	0	1	0	PASK
PBK	0	0	1	0	PBK
PCDH18	0	0	1	0	PCDH18
PCDH19	1	0	0	0	PCDH19
PCLAF	1	1	1	1	PCLAF
PDCD2	0	0	1	0	PDCD2
PDCD6IP	1	0	0	0	PDCD6IP
PDGFD	0	0	0	1	PDGFD
PDRG1	0	0	1	0	PDRG1
PDZRN3	0	1	1	0	PDZRN3
PEA15	1	0	0	0	PEA15
PEG10	1	1	0	0	PEG10
PELI2	0	1	0	0	PELI2
PER1	0	0	1	0	PER1
PEX11A	0	0	0	1	PEX11A
PEX14	0	0	0	1	PEX14
PFDN2	0	0	1	0	PFDN2
PFDN6	0	0	1	0	PFDN6
PFKP	0	0	1	1	PFKP
PFN2	0	0	0	1	PFN2
PGAM1	0	1	0	0	PGAM1
PHTF2	0	0	1	0	PHTF2
PHYH	0	0	0	1	PHYH
PIGB	0	0	0	1	PIGB
PIGS	0	0	0	1	PIGS
PIH1D2	0	1	0	1	PIH1D2
PIK3CA	0	0	0	1	PIK3CA
PIK3R1	0	0	1	0	PIK3R1
PIK3R2	0	0	1	0	PIK3R2
PIK3R3	1	0	1	0	PIK3R3
PIN1	0	1	0	0	PIN1
PINX1	1	0	0	0	PINX1
PJA1	0	0	1	0	PJA1
PJA2	0	0	1	0	PJA2
PKHD1L1	1	0	0	0	PKHD1L1
PKM	0	0	0	1	PKM
PLA2G3	0	0	1	0	PLA2G3
PLCD1	0	0	0	1	PLCD1
PLEKHF1	0	0	0	1	PLEKHF1
PLGRKT	0	0	0	1	PLGRKT
PLOD2	0	0	1	0	PLOD2
PNMA1	0	0	1	0	PNMA1
PNMA2	1	0	1	1	PNMA2
POLR1D	0	0	1	0	POLR1D
POLR2G	0	0	1	0	POLR2G
POLR2I	0	1	0	0	POLR2I
POLR2L	0	0	1	0	POLR2L
POM121	1	0	0	0	POM121
POMP	0	1	0	0	POMP
PPIB	0	0	0	1	PPIB
PPID	0	0	1	0	PPID
PPM1G	0	0	1	1	PPM1G
PPM1L	1	0	0	0	PPM1L
PPP1R15B	0	0	1	0	PPP1R15B
PPP4R3B	0	0	1	0	PPP4R3B
PPP4R4	0	0	1	0	PPP4R4
PPP5C	0	0	1	0	PPP5C
PPP6C	0	0	1	0	PPP6C
PPP6R1	0	0	1	0	PPP6R1
PPP6R2	0	0	1	0	PPP6R2
PPP6R3	0	0	1	0	PPP6R3
PPT2	0	1	0	0	PPT2
PRCC	1	0	0	0	PRCC
PRDM6	0	0	1	0	PRDM6
PREX2	0	1	1	0	PREX2
PRKACA	0	0	1	0	PRKACA
PRKACB	0	0	1	0	PRKACB
PRKAR1A	0	0	1	0	PRKAR1A
PRKAR1B	0	0	1	0	PRKAR1B
PRMT2	0	0	1	0	PRMT2
PRPF39	1	0	0	0	PRPF39
PRRC2B	1	0	0	0	PRRC2B
PRRT4	0	0	0	1	PRRT4
PSMB4	0	0	1	0	PSMB4
PSMC2	1	1	0	0	PSMC2
PSMC5	1	1	1	1	PSMC5
PSMD1	0	0	0	1	PSMD1
PSMD11	0	0	0	1	PSMD11
PSMD12	0	0	0	1	PSMD12
PSMD13	0	0	0	1	PSMD13
PSMD2	0	0	0	1	PSMD2
PSMD3	1	0	0	0	PSMD3
PSMD7	0	0	0	1	PSMD7
PTMA	0	0	0	1	PTMA
PTPDC1	1	0	0	0	PTPDC1
PTPRZ1	1	0	1	0	PTPRZ1
PXMP2	0	0	0	1	PXMP2
Q6ZSR9	0	1	0	0	Q6ZSR9
RAB11FIP3	0	0	1	0	RAB11FIP3
RAB32	0	1	1	1	RAB32
RAB3C	0	1	0	0	RAB3C
RADIL	0	0	0	1	RADIL
RAF1	0	1	1	1	RAF1
RAI2	1	0	0	0	RAI2
RALGDS	0	0	0	1	RALGDS
RAP1B	0	0	0	1	RAP1B
RAP1GAP	1	0	0	0	RAP1GAP
RAP1GDS1	0	0	0	1	RAP1GDS1
RAPGEF6	0	0	1	0	RAPGEF6
RASGRF2	0	0	0	1	RASGRF2
RAVER1	1	0	0	0	RAVER1
RBM15B	0	0	0	1	RBM15B
RBM4	0	0	0	1	RBM4
RBM4B	0	0	0	1	RBM4B
RDH11	0	0	0	1	RDH11
REEP4	0	0	0	1	REEP4
RFT1	0	0	0	1	RFT1
RGL1	0	0	0	1	RGL1
RGL2	0	0	0	1	RGL2
RHBDD1	0	0	1	0	RHBDD1
RHBDF1	1	0	0	0	RHBDF1
RHBDF2	1	0	0	0	RHBDF2
RIMKLB	0	1	0	0	RIMKLB
RIOK1	0	0	0	1	RIOK1
RIPK4	0	0	1	0	RIPK4
RIT1	0	0	1	0	RIT1
RNF11	0	0	0	1	RNF11
RNF41	0	0	1	1	RNF41
RNH1	0	0	0	1	RNH1
RP2	0	0	0	1	RP2
RP9	0	0	1	0	RP9
RPA1	0	1	1	1	RPA1
