ERK	MEK	RAF	RAS	Gene.names
EPHB4	0	0	1	0	EPHB4
ERAP2	0	1	0	0	ERAP2
ERCC6L	0	1	0	0	ERCC6L
ERF	1	0	0	0	ERF
ERRFI1	0	1	0	0	ERRFI1
ESRRA	0	0	0	1	ESRRA
ESRRG	0	0	1	1	ESRRG
ETV3	1	0	0	0	ETV3
ETV4	0	0	1	0	ETV4
EWSR1	0	0	0	1	EWSR1
EYA2	0	0	1	1	EYA2
F13A1	0	0	1	0	F13A1
F5	1	0	0	0	F5
FAAH	0	0	1	0	FAAH
FADS1	0	0	0	1	FADS1
FADS2	1	0	1	1	FADS2
FAM107B	0	1	0	0	FAM107B
FAM111B	0	0	1	0	FAM111B
FAM171A1	0	0	1	0	FAM171A1
FAM200B	0	0	0	1	FAM200B
FAM83D	1	0	0	0	FAM83D
FAM98A	0	1	0	0	FAM98A
FANCM	0	0	0	1	FANCM
FAR2	0	0	0	1	FAR2
FASN	0	1	0	0	FASN
FBH1	1	1	1	1	FBH1
FBXL12	0	0	1	0	FBXL12
FBXL3	0	0	1	0	FBXL3
FBXL6	0	0	0	1	FBXL6
FBXO8	0	0	1	0	FBXO8
FBXW5	0	0	1	0	FBXW5
FDFT1	0	0	0	1	FDFT1
FERMT2	0	1	0	0	FERMT2
FGF12	0	0	0	1	FGF12
FGFR3	0	0	0	1	FGFR3
FGG	0	0	1	0	FGG
FHIP2A	0	1	0	0	FHIP2A
FIS1	0	0	0	1	FIS1
FKBP4	0	0	1	0	FKBP4
FKBP5	1	1	1	0	FKBP5
FKBP8	0	0	1	0	FKBP8
FKBPL	0	0	1	0	FKBPL
FLII	0	0	1	0	FLII
FN1	0	0	1	0	FN1
FNBP1L	0	1	0	0	FNBP1L
FNDC10	1	1	0	1	FNDC10
FOSL1	0	0	1	0	FOSL1
FOXC2	0	0	0	1	FOXC2
FOXG1	1	0	0	0	FOXG1
FOXN3	0	0	1	0	FOXN3
FOXRED2	1	0	1	0	FOXRED2
FRAT2	1	0	0	0	FRAT2
FRMD4A	0	0	1	0	FRMD4A
FRS2	1	0	0	0	FRS2
FRS3	1	0	0	0	FRS3
FSCN1	1	0	0	1	FSCN1
FTH1	0	1	0	0	FTH1
FTSJ1	0	0	1	0	FTSJ1
FUT11	0	0	0	1	FUT11
FUT8	0	0	1	0	FUT8
GAB1	1	0	0	0	GAB1
GABRB3	1	0	1	1	GABRB3
GALC	0	0	0	1	GALC
GALNT12	0	0	0	1	GALNT12
GAS1	0	0	0	1	GAS1
GAS6	0	0	0	1	GAS6
GAS7	0	0	0	1	GAS7
GATD1	0	0	1	0	GATD1
GBE1	0	0	1	0	GBE1
GCA	0	0	1	0	GCA
GDAP1L1	1	0	1	1	GDAP1L1
GDF15	1	0	0	1	GDF15
GDI1	0	0	1	0	GDI1
GDI2	0	0	1	0	GDI2
GET3	0	0	1	0	GET3
GET4	0	0	1	0	GET4
GFUS	0	0	1	0	GFUS
GGA3	0	0	1	0	GGA3
GLB1L2	0	1	0	0	GLB1L2
GLMN	0	0	1	0	GLMN
GLO1	0	1	0	0	GLO1
GLT8D2	0	0	0	1	GLT8D2
GNAO1	0	0	0	1	GNAO1
GNG4	0	0	0	1	GNG4
GNG7	0	0	0	1	GNG7
GOSR2	0	0	0	1	GOSR2
GPAM	1	0	0	1	GPAM
GPC2	0	0	0	1	GPC2
GPC6	1	0	0	1	GPC6
GPI	0	0	1	0	GPI
GPM6B	0	0	0	1	GPM6B
GPN1	0	0	1	0	GPN1
GPN2	0	0	1	0	GPN2
GPR176	1	1	1	0	GPR176
GPS1	0	0	0	1	GPS1
GRAMD4	0	0	0	1	GRAMD4
GRPEL2	0	1	0	0	GRPEL2
GTF2A1	0	0	0	1	GTF2A1
GUCD1	0	0	1	0	GUCD1
H1-0	0	0	0	1	H1-0
H1-3	1	0	0	0	H1-3
H1-4	0	0	1	0	H1-4
H2AC4;H2AC25	0	0	1	0	H2AC4;H2AC25
H2BC11;H2BC17;H2BC3;H2BC21	0	0	0	1	H2BC11;H2BC17;H2BC3;H2BC21
H2BC12;H2BC5;H2BC4;H2BC18;H2BC9;H2BC15;H2BC14;H2BC13	1	0	0	0	H2BC12;H2BC5;H2BC4;H2BC18;H2BC9;H2BC15;H2BC14;H2BC13
HABP2	0	0	1	0	HABP2
HACD1	0	0	1	0	HACD1
HADHA	0	0	0	1	HADHA
HADHB	0	0	0	1	HADHB
HCN4	1	0	1	1	HCN4
HDAC7	0	0	1	1	HDAC7
HDHD3	0	0	1	0	HDHD3
HECTD2	0	1	1	0	HECTD2
HEG1	0	0	0	1	HEG1
HELQ	0	0	0	1	HELQ
HERC2	0	0	1	0	HERC2
HERC5	0	0	1	0	HERC5
HGH1	0	0	1	0	HGH1
HIVEP1	1	0	0	0	HIVEP1
HMGCL	0	0	0	1	HMGCL
HMGCR	0	0	1	0	HMGCR
HMGCS2	0	0	1	0	HMGCS2
HMGN2	1	0	1	0	HMGN2
HMMR	1	0	0	0	HMMR
HNF4G	0	0	0	1	HNF4G
HNRNPA1L3	0	0	1	0	HNRNPA1L3
HPF1	0	0	1	0	HPF1
HRAS	0	0	1	1	HRAS
HSP90AA1	1	1	1	0	HSP90AA1
HSP90AA2P	0	0	1	0	HSP90AA2P
HSP90AA4P	1	1	1	0	HSP90AA4P
HSP90AA5P	0	0	1	0	HSP90AA5P
HSP90AB1	1	1	1	0	HSP90AB1
HSP90AB2P	0	1	1	0	HSP90AB2P
HSP90AB3P	1	0	1	0	HSP90AB3P
HSP90AB4P	1	1	1	0	HSP90AB4P
HSPA1A;HSPA1B	0	1	0	0	HSPA1A;HSPA1B
HSPA1L	0	1	0	0	HSPA1L
HSPA2	0	1	0	0	HSPA2
HSPA4	0	1	0	0	HSPA4
HSPA4L	0	1	1	0	HSPA4L
HSPA5	0	1	1	0	HSPA5
HSPA6	0	1	0	0	HSPA6
HSPA8	0	1	0	0	HSPA8
HSPA9	0	1	0	0	HSPA9
HSPB1	0	0	0	1	HSPB1
HSPBP1	0	1	1	0	HSPBP1
HSPH1	0	1	0	0	HSPH1
HTRA1	0	0	1	1	HTRA1
HUWE1	0	0	1	0	HUWE1
HYI	0	0	1	0	HYI
IBA57	0	0	0	1	IBA57
ID1	0	1	0	0	ID1
ID3	1	1	1	1	ID3
IDI1	0	1	0	1	IDI1
IGSF21	0	0	0	1	IGSF21
ILK	1	0	0	0	ILK
IPO4	0	0	0	1	IPO4
IPO5	0	0	1	0	IPO5
IPP	1	0	0	0	IPP
IRS2	1	0	0	1	IRS2
IRS4	0	0	1	0	IRS4
ITGA1	0	0	0	1	ITGA1
ITGA2	0	0	0	1	ITGA2
ITGA4	0	1	0	1	ITGA4
ITGA7	0	1	0	0	ITGA7
ITIH2	0	0	1	0	ITIH2
JPT1	0	1	0	0	JPT1
KANK1	0	0	0	1	KANK1
KANK2	0	1	0	0	KANK2
KCNQ2	0	0	0	1	KCNQ2
KCTD10	1	0	1	0	KCTD10
KCTD12	1	0	0	1	KCTD12
KCTD3	0	1	0	0	KCTD3
KDM2A	0	0	1	1	KDM2A
KDM8	0	1	0	0	KDM8
KEAP1	0	1	0	0	KEAP1
KHDRBS3	0	0	1	0	KHDRBS3
KIF14	1	0	0	0	KIF14
KIF16B	1	0	0	0	KIF16B
KIF26A	0	0	0	1	KIF26A
KIFBP	0	0	1	0	KIFBP
KITLG	0	0	1	0	KITLG
KLC3	0	0	1	0	KLC3
KLHDC3	0	0	1	0	KLHDC3
KLHDC8B	0	0	0	1	KLHDC8B
KLHL12	0	0	0	1	KLHL12
KLHL13	0	1	0	0	KLHL13
KLHL15	1	0	1	0	KLHL15
KLHL17	0	0	0	1	KLHL17
KLHL26	0	0	1	0	KLHL26
KLHL36	0	1	0	0	KLHL36
KLHL4	0	0	1	0	KLHL4
KLHL9	0	1	0	0	KLHL9
KMT5A	1	1	1	1	KMT5A
KNSTRN	0	1	0	0	KNSTRN
KRAS	0	0	1	1	KRAS
KRT18	0	0	1	0	KRT18
KSR1	0	1	1	0	KSR1
KSR2	0	1	1	0	KSR2
L3MBTL2	1	0	0	0	L3MBTL2
LACTB	0	0	1	1	LACTB
LAMA1	0	0	0	1	LAMA1
LAMB3	0	1	0	0	LAMB3
LAMC2	0	0	1	0	LAMC2
LANCL2	0	0	1	0	LANCL2
LCMT2	0	0	1	0	LCMT2
LCP1	1	0	0	0	LCP1
LDLRAD3	0	0	1	0	LDLRAD3
LETM2	0	0	1	0	LETM2
LGALS3BP	0	0	1	0	LGALS3BP
LGALS8	0	0	1	0	LGALS8
LHX5	0	0	0	1	LHX5
LIG4	0	0	1	0	LIG4
LIMS1	1	0	0	0	LIMS1
LIN7A	0	0	0	1	LIN7A
LIPT2	0	0	0	1	LIPT2
LLPH	0	0	1	0	LLPH
LMO1	0	0	0	1	LMO1
LONP1	0	0	1	0	LONP1
LOXL1	0	0	0	1	LOXL1
LPL	0	0	0	1	LPL
LRCH3	0	1	0	0	LRCH3
LRP2	0	0	1	0	LRP2
LSAMP	1	0	1	1	LSAMP
LSM11	0	0	0	1	LSM11
LSS	0	0	1	0	LSS
LTBP4	0	0	0	1	LTBP4
LUZP1	0	1	0	0	LUZP1
LYN	0	0	0	1	LYN
LZTS2	1	0	0	0	LZTS2
LZTS3	1	0	0	0	LZTS3
MACROD1	0	0	1	0	MACROD1
MAD2L1	0	0	0	1	MAD2L1
MAGED1	0	1	0	0	MAGED1
MAGED4	0	0	1	0	MAGED4
MAN2C1	0	0	1	0	MAN2C1
MAP2K1	0	1	1	0	MAP2K1
MAP2K2	1	1	1	0	MAP2K2
MAP3K12	0	0	0	1	MAP3K12
MAP4K1	0	0	0	1	MAP4K1
MAPK1	1	1	0	0	MAPK1
MAPK14	0	0	0	1	MAPK14
MAPK3	1	0	0	0	MAPK3
MAPK8IP2	0	0	1	0	MAPK8IP2
MAPK8IP3	0	0	1	0	MAPK8IP3
MARCHF6	0	0	1	0	MARCHF6
MARCHF7	0	0	1	0	MARCHF7
MAT2A	0	1	1	0	MAT2A
MATK	0	0	0	1	MATK
MB21D2	0	1	0	0	MB21D2
MBD5	0	0	0	1	MBD5
MCM4	0	0	1	0	MCM4
MCMBP	0	0	1	0	MCMBP
MCTP2	1	0	0	1	MCTP2
MDH1	0	1	0	0	MDH1
MDK	0	0	0	1	MDK
MED11	0	0	0	1	MED11
MED12L	1	0	0	0	MED12L
MED19	0	0	0	1	MED19
MED8	0	0	0	1	MED8
MEGF8	0	0	0	1	MEGF8
MEMO1	0	0	1	0	MEMO1
MERTK	0	0	0	1	MERTK
MEST	1	1	1	1	MEST
METAP2	0	0	1	0	METAP2
MFAP2	0	0	0	1	MFAP2
MFSD13A	0	0	0	1	MFSD13A
MFSD14CP	0	1	0	0	MFSD14CP
MFSD8	0	0	1	0	MFSD8
MGST1	0	1	0	1	MGST1
MGST3	0	1	0	0	MGST3
MIDEAS	1	0	0	0	MIDEAS
MKNK1	1	0	0	0	MKNK1
MKNK2	1	1	0	0	MKNK2
MOXD1	0	0	0	1	MOXD1
MPLKIP	0	0	0	1	MPLKIP
MPO	0	0	1	0	MPO
MPP2	0	0	0	1	MPP2
MRAP2	0	0	0	1	MRAP2
MRTFB	1	0	0	0	MRTFB
MSANTD2	0	0	0	1	MSANTD2
MSANTD7	1	0	0	1	MSANTD7
MTFP1	0	0	0	1	MTFP1
MTHFR	0	0	0	1	MTHFR
MTR	0	0	1	0	MTR
MTRR	0	1	0	0	MTRR
MYH10	0	0	1	0	MYH10
MYH14	0	0	1	0	MYH14
MYH9	0	0	1	0	MYH9
MYL1;MYL3	0	0	1	0	MYL1;MYL3
MYL6	0	0	1	0	MYL6
MYO1D	0	0	1	0	MYO1D
MYPN	1	0	0	0	MYPN
MZT1	0	0	1	0	MZT1
N4BP2L1	0	0	0	1	N4BP2L1
N4BP3	1	0	0	1	N4BP3
NAA15	0	0	1	0	NAA15
NAA20	0	0	1	0	NAA20
NAMPT	0	0	1	0	NAMPT
NAT9	0	0	1	0	NAT9
NBDY	0	0	0	1	NBDY
NBN	0	0	0	1	NBN
NCK1	0	1	0	0	NCK1
NCKAP5L	1	0	0	0	NCKAP5L
NDRG2	1	1	0	1	NDRG2
NEDD9	0	1	0	0	NEDD9
NEFL	1	1	1	1	NEFL
NELFA	1	0	0	0	NELFA
NEO1	1	0	0	0	NEO1
NET1	0	0	0	1	NET1
NFU1	0	0	0	1	NFU1
NHERF2	0	0	0	1	NHERF2
NHSL3	0	0	0	1	NHSL3
NID1	0	0	0	1	NID1
NISCH	0	0	1	0	NISCH
NLE1	0	0	1	0	NLE1
NLGN4Y	1	0	0	0	NLGN4Y
NOTCH3	1	0	0	1	NOTCH3
NPTN	0	0	1	0	NPTN
NR2F1	0	0	1	0	NR2F1
NR2F2	0	0	0	1	NR2F2
NRAS	0	0	1	1	NRAS
NRBP2	0	0	1	0	NRBP2
NRP1	0	0	1	0	NRP1
NRXN2	0	0	0	1	NRXN2
NT5C	0	0	1	0	NT5C
NT5C2	0	0	0	1	NT5C2
NTMT1	0	1	0	0	NTMT1
NTN1	0	0	1	0	NTN1
NTS	1	1	1	0	NTS
NUDC	0	0	1	0	NUDC
NUDCD2	0	0	1	0	NUDCD2
NUDCD3	0	0	1	0	NUDCD3
NUDT5	0	1	0	0	NUDT5
NUDT8	0	0	0	1	NUDT8
NUS1	0	0	0	1	NUS1
NUTF2	0	0	0	1	NUTF2
OAS3	0	0	1	1	OAS3
OCIAD1	0	1	1	0	OCIAD1
OLA1	0	0	0	1	OLA1
OPHN1	0	1	1	0	OPHN1
ORC1	0	0	1	0	ORC1
ORMDL1	0	0	1	0	ORMDL1
ORMDL2	1	0	1	1	ORMDL2
OS9	1	0	1	1	OS9
OSER1	0	1	0	0	OSER1
OTUD3	0	1	0	0	OTUD3
OVCA2	0	0	1	0	OVCA2
OXNAD1	0	0	1	0	OXNAD1
P3H1	0	0	1	0	P3H1
P3H2	0	0	1	0	P3H2
P3H3	0	0	1	0	P3H3
P3H4	0	0	1	1	P3H4
P4HA1	0	0	1	0	P4HA1
P4HA2	0	0	1	0	P4HA2
P4HB	0	0	1	0	P4HB
PADI2	0	0	0	1	PADI2
PAFAH1B2	0	0	1	0	PAFAH1B2
PAIP2	0	1	0	0	PAIP2
PAQR7	0	0	0	1	PAQR7
PAQR9	0	0	0	1	PAQR9
PARD3B	1	0	0	0	PARD3B
PARP2	0	0	0	1	PARP2
PARVA	1	0	0	0	PARVA
PARVB	1	0	0	0	PARVB
PASK	0	0	1	0	PASK
PATZ1	0	0	0	1	PATZ1
PBDC1	1	0	0	1	PBDC1
PBK	0	0	1	0	PBK
PCDH10	0	0	0	1	PCDH10
PCK2	0	0	1	1	PCK2
PCLAF	0	1	0	0	PCLAF
PCNT	1	0	0	0	PCNT
PCNX1	0	1	0	0	PCNX1
PDCD2	0	0	1	0	PDCD2
PDE3B	0	0	1	0	PDE3B
PDGFD	0	1	0	1	PDGFD
PDLIM5	0	1	0	0	PDLIM5
PDRG1	0	0	1	0	PDRG1
PEA15	1	0	0	0	PEA15
PEDS1	1	0	0	0	PEDS1
PEG10	0	1	0	0	PEG10
PELI2	0	1	1	0	PELI2
PER1	0	0	1	0	PER1
PEX11A	0	0	0	1	PEX11A
PEX14	0	0	0	1	PEX14
PFDN2	0	0	1	0	PFDN2
PFDN6	0	0	1	0	PFDN6
PFKFB3	0	0	0	1	PFKFB3
PFKP	0	0	0	1	PFKP
PFN1	0	0	1	0	PFN1
PFN2	0	0	0	1	PFN2
PGAM1	0	1	0	0	PGAM1
PGGT1B	0	0	1	0	PGGT1B
