query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	evidence_codes	intersection	subcell_localization	protein
plasma_membrane__ARAF	TRUE	0.00107222696421623	3661	50	24	0.48	0.0065555859054903	plasma_membrane_GO:0051641	GO:BP	cellular localization	21026	13664	IEA,IBA TAS IEA,IEA,IMP,NAS IEA,IMP,IBA,IBA IEA,IDA IMP,ISS IEA,ISS,ISS IBA,IEA,IDA IMP IEA,IEA,ISS IEA,IEA,IDA ISS IEA,ISS IEA,IBA IEA,IBA,IMP,ISS IEA,IEA	CELSR2,DNAJC5,EFNB2,EPHA2,ERBIN,GJA1,GPC1,GPC6,HRAS,LSR,MDFIC,MYO10,MYO1B,MYO1C,NECTIN2,NECTIN3,NEO1,PIK3R1,PIK3R2,PLCB1,PLCB4,SH3BP4,SLC30A1,STOM	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00132905750274708	2604	50	20	0.4	0.00768049155145929	plasma_membrane_GO:0007399	GO:BP	nervous system development	21026	2884	ISS IEA,IBA IEA,IGI ISS,IEA,IBA IEA,IDA IBA IEA,IEA,IDA,IEA,ISS,IEA,IEA,ISS IBA IEA,IEA,IBA IEA,ISS IEA,IDA ISS TAS IEA,IEA,IBA,IDA IMP IBA TAS IEA	CELSR2,CNTN1,CUL7,DLGAP4,EFNB1,EFNB2,EPHA2,FTSJ1,GJA1,GPC1,HRAS,KRAS,LSR,NECTIN3,NEO1,PLCB1,ROBO1,SLC30A1,SLC4A7,SLIT2	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00144458792685725	5997	50	31	0.62	0.00516925129231282	plasma_membrane_GO:0048856	GO:BP	anatomical structure development	21026	12931	IMP IBA IEA,ISS IBA,IEA,ISS IEA,IBA IEA,IDA IGI ISS IEA,IEA,IEA,IBA IEA,IDA ISS IBA TAS IEA,IMP ISS IEA,IDA ISS IBA IEA,IMP IBA,IDA,IMP ISS IBA NAS IEA,ISS IEA,TAS IEA,IEA,ISS IBA IEA,IMP IBA,ISS IBA IEA,IEA,IBA IEA,IEA,NAS IEA,NAS,ISS IEA,IDA IMP ISS TAS IEA,IEA,IBA,IDA IMP IEP ISS IBA TAS IEA	ACTN1,AIDA,AMER1,CELSR2,CNTN1,CUL7,DLGAP4,DSC3,EFNB1,EFNB2,EPHA2,EPHB4,FAM171A1,FTSJ1,GJA1,GPC1,HRAS,KRAS,LSR,MYO10,NECTIN2,NECTIN3,NEO1,NRAS,PIK3R1,PIK3R2,PLCB1,ROBO1,SLC30A1,SLC4A7,SLIT2	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00151314665843887	729	50	11	0.22	0.0150891632373114	plasma_membrane_GO:0030036	GO:BP	actin cytoskeleton organization	21026	6627	IMP IBA IEA,IMP IBA,IDA,IEA,IEA,IMP ISS IBA IEA,IBA,ISS IEA,IEA,IDA,IMP	ACTN1,FAM171A1,HRAS,KIRREL1,KRAS,MYO1B,MYO1C,PIK3R1,PIK3R2,SLIT2,TNFAIP1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00210717187146103	461	50	9	0.18	0.0195227765726681	plasma_membrane_GO:0007015	GO:BP	actin filament organization	21026	2611	IMP IEA,IMP IBA,IEA,IMP ISS IBA IEA,IBA,ISS IEA,IEA,IDA,IMP	ACTN1,FAM171A1,KIRREL1,MYO1B,MYO1C,PIK3R1,PIK3R2,SLIT2,TNFAIP1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00256264349105865	2713	50	20	0.4	0.00737191301142647	plasma_membrane_GO:0009653	GO:BP	anatomical structure morphogenesis	21026	3557	IMP,ISS,IBA IEA,IGI ISS IEA,IBA IEA,IDA IBA TAS IEA,ISS IEA,IDA ISS IBA IEA,IMP IBA,IMP IEA,ISS,TAS,IEA,IMP IBA,IBA IEA,IEA,IBA IEA,IDA IMP ISS IEA,IEA,IDA IMP ISS IBA TAS IEA	ACTN1,CELSR2,CNTN1,CUL7,EFNB1,EFNB2,EPHA2,EPHB4,FAM171A1,GJA1,GPC1,HRAS,KRAS,MYO10,NECTIN2,NECTIN3,NEO1,ROBO1,SLC30A1,SLIT2	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00267751224857773	1529	50	15	0.3	0.00981033355134074	plasma_membrane_GO:0007010	GO:BP	cytoskeleton organization	21026	2609	IMP IBA IEA,IMP,NAS,IMP IBA,IMP,IDA,IEA,IEA,IMP ISS IBA IEA,IBA,IEA,ISS IEA,IEA,IDA,IMP	ACTN1,CUL7,ERBIN,FAM171A1,GJA1,HRAS,KIRREL1,KRAS,MYO1B,MYO1C,NECTIN2,PIK3R1,PIK3R2,SLIT2,TNFAIP1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00320639153204965	1771	50	16	0.32	0.00903444381705251	plasma_membrane_GO:0022008	GO:BP	neurogenesis	21026	6530	ISS IEA,IBA IEA,IGI ISS,IBA IEA,IDA IBA,IEA,IDA,IEA,ISS,IEA,IEA,IBA IEA,IDA ISS IEA,IEA,IBA,IDA IMP IBA TAS IEA	CELSR2,CNTN1,CUL7,EFNB1,EFNB2,EPHA2,FTSJ1,GJA1,GPC1,HRAS,KRAS,NEO1,ROBO1,SLC30A1,SLC4A7,SLIT2	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.0036717914859873	160	50	6	0.12	0.0375	plasma_membrane_GO:0051017	GO:BP	actin filament bundle assembly	21026	13269	IEA,IMP IBA,ISS IEA,ISS IEA,IEA,IMP	ACTN1,FAM171A1,MYO1B,PIK3R1,PIK3R2,TNFAIP1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00368501893242788	7376	50	34	0.68	0.00460954446854664	plasma_membrane_GO:0051716	GO:BP	cellular response to stimulus	21026	13719	IDA ISS IEA,IMP IGI IBA IEA,ISS NAS IEA,IEA,IBA,NAS,IBA IEA,IDA IBA IEA,IDA IMP IEA,IDA IBA IEA,IMP IBA TAS NAS IEA,IDA HMP ISS IEA,ISS IBA IEA,IEA,IDA IBA TAS NAS IEA,IBA TAS IEA,IBA TAS IEA,IDA,IEA,IMP IEA,IDA IBA,IEA,IDA IBA TAS IEA,IDA IPI IMP IGI ISS IBA IEA,IDA IMP ISS IBA IEA,IDA ISS IBA TAS NAS IEA,IDA IBA TAS IEA,IDA IMP IGI IBA TAS IEA,IDA IBA IEA,IMP ISS IEA,IMP,IMP,IDA IMP IEP ISS IC,IMP IBA	AIDA,AMER1,CELSR2,CNTN1,CPNE8,DCBLD2,EFNB1,EFNB2,EPHA2,EPHB4,ERBIN,GJA1,GPC1,GPC6,HRAS,IRS4,KRAS,MDFIC,MYO10,MYO1C,NECTIN2,NEO1,NRAS,PIK3R1,PIK3R2,PLCB1,PLCB4,RALB,RELL1,ROBO1,SH3BP4,SLC19A1,SLIT2,TNFAIP1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00377178852101891	1793	50	16	0.32	0.00892359174567764	plasma_membrane_GO:0048870	GO:BP	cell motility	21026	12944	IEA,IEA,IDA,IDA IMP ISS IEA,IDA,IMP IEA,IBA,IDA IBA,IDA,IMP,IBA,IEA,ISS IEA,IDA IMP,IDA IMP ISS,IMP	CELSR2,EFNB1,EFNB2,EPHA2,EPHB4,GJA1,GPC1,GPC6,HRAS,MYO1C,NEO1,PIK3R1,PLCB1,ROBO1,SLIT2,TNFAIP1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.0038206568121801	976	50	12	0.24	0.0122950819672131	plasma_membrane_GO:0098609	GO:BP	cell-cell adhesion	21026	18556	ISS IBA IEA,IBA,IBA IEA,IEA,IEA,IBA IEA,IEA,IDA IBA IEA,ISS IBA IEA,IBA,IEA,IDA	CELSR2,CNTN1,DSC3,EFNB1,EFNB2,KIRREL1,MYO10,NECTIN2,NECTIN3,NEO1,PCDH7,ROBO1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00405257340710088	6264	50	31	0.62	0.00494891443167305	plasma_membrane_GO:0048518	GO:BP	positive regulation of biological process	21026	12634	IEA,IDA IMP,IEA,IGI ISS,IEA,IMP ISS IEA,IDA IMP,IMP IEA,IMP HMP ISS IEA,ISS IEA,IDA IMP IEA,IEA,IMP IEA,IDA IBA,IEA,IDA IMP NAS IEA,IDA IMP IBA,IEA,IMP,IDA IMP ISS IEA,ISS IEA,IDA ISS IEA,IMP IGI,IDA IBA IEA,IDA IMP ISS,IMP,IMP,IEA,IDA IMP TAS,IEA,IEA	ACTN1,AMER1,CNTN1,CUL7,EFNB1,EFNB2,EPHA2,ERBIN,GJA1,GPC1,HRAS,KIRREL1,KRAS,MDFIC,MYO10,MYO1C,NECTIN2,NEO1,NRAS,PIK3R1,PIK3R2,PLCB1,RALB,RELL1,ROBO1,SH3BP4,SLC19A1,SLC30A1,SLIT2,STOM,TNFAIP1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00408987274089832	163	50	6	0.12	0.0368098159509202	plasma_membrane_GO:0061572	GO:BP	actin filament bundle organization	21026	15349	IEA,IMP IBA,ISS IEA,ISS IEA,IEA,IMP	ACTN1,FAM171A1,MYO1B,PIK3R1,PIK3R2,TNFAIP1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00431495866865716	5920	50	30	0.6	0.00506756756756757	plasma_membrane_GO:0048522	GO:BP	positive regulation of cellular process	21026	12638	IEA,IDA IMP,IEA,IGI ISS,IEA,IMP ISS IEA,IDA IMP,IMP HMP ISS IEA,ISS IEA,IDA IMP IEA,IEA,IMP IEA,IDA,IEA,IDA IMP NAS IEA,IDA IMP IBA,IEA,IMP,IDA IMP ISS IEA,ISS IEA,IDA ISS IEA,IMP IGI,IDA IBA IEA,IDA IMP ISS,IMP,IMP,IEA,IMP TAS,IEA,IEA	ACTN1,AMER1,CNTN1,CUL7,EFNB1,EFNB2,EPHA2,GJA1,GPC1,HRAS,KIRREL1,KRAS,MDFIC,MYO10,MYO1C,NECTIN2,NEO1,NRAS,PIK3R1,PIK3R2,PLCB1,RALB,RELL1,ROBO1,SH3BP4,SLC19A1,SLC30A1,SLIT2,STOM,TNFAIP1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00504282494411244	169	50	6	0.12	0.0355029585798817	plasma_membrane_GO:0007156	GO:BP	homophilic cell adhesion via plasma membrane adhesion molecules	21026	2707	ISS IEA,IEA,IDA IBA IEA,ISS IBA IEA,IEA,IDA	CELSR2,DSC3,NECTIN2,NECTIN3,PCDH7,ROBO1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00540519524475059	3993	50	24	0.48	0.00601051840721262	plasma_membrane_GO:0048583	GO:BP	regulation of response to stimulus	21026	12687	IDA ISS IEA,IMP IGI IBA,IDA,IMP,IMP IEA,HMP,ISS IBA IEA,IEA,IDA IEA,IEA,IDA,IEA,IDA IMP IBA,IEA,IDA IMP,IMP,IDA ISS IEA,IGI,IDA IBA IEA,IDA IMP ISS,IMP,IMP,IDA IMP ISS,IMP IBA	AIDA,AMER1,EFNB2,EPHA2,ERBIN,GJA1,GPC1,GPC6,HRAS,KRAS,MDFIC,MYO1C,NECTIN2,NEO1,PIK3R1,PIK3R2,PLCB1,RALB,RELL1,ROBO1,SH3BP4,SLC19A1,SLIT2,TNFAIP1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00550231756308675	1011	50	12	0.24	0.0118694362017804	plasma_membrane_GO:0044087	GO:BP	regulation of cellular component biogenesis	21026	10812	ISS IEA,IDA,IMP,IDA,IEA,IMP IBA,IMP,IEA,ISS IEA,IEA,IMP ISS,IDA	AIDA,EFNB1,EPHA2,HRAS,KIRREL1,MYO10,MYO1C,NECTIN3,PIK3R1,PIK3R2,RALB,SLIT2	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00558939038340639	834	50	11	0.22	0.013189448441247	plasma_membrane_GO:0034330	GO:BP	cell junction organization	21026	8509	IMP IEA,IEA,IEA,IMP,TAS IEA,IMP,ISS IBA IEA,IMP,IEA,ISS IEA,IEA	ACTN1,DLGAP4,EFNB2,EPHA2,GJA1,KIRREL1,LSR,MYO1C,NECTIN3,PIK3R1,SLC30A1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00643288088620609	2876	50	20	0.4	0.00695410292072323	plasma_membrane_GO:0048468	GO:BP	cell development	21026	12602	IMP IBA IEA,ISS,IBA IEA,IGI ISS,IBA IEA,IDA IBA,ISS IEA,IEA,IEA,IEA,ISS IBA IEA,ISS IBA IEA,IBA IEA,NAS IEA,NAS,IEA,IDA ISS IEA,IEA,IBA,IDA IMP IBA TAS IEA	ACTN1,CELSR2,CNTN1,CUL7,EFNB1,EFNB2,EPHA2,GJA1,HRAS,KRAS,LSR,NECTIN2,NEO1,PIK3R1,PIK3R2,PLCB1,ROBO1,SLC30A1,SLC4A7,SLIT2	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00903164666361562	106	50	5	0.1	0.0471698113207547	plasma_membrane_GO:1905477	GO:BP	positive regulation of protein localization to membrane	21026	24252	IMP,IMP,IEA,ISS,IEA	EPHA2,HRAS,MYO1C,PIK3R1,STOM	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00955532419017253	2	50	2	0.04	1	plasma_membrane_GO:0021827	GO:BP	postnatal olfactory bulb interneuron migration	21026	6369	IDA,IDA	ROBO1,SLIT2	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00955532419017253	2	50	2	0.04	1	plasma_membrane_GO:0002130	GO:BP	wobble position ribose methylation	21026	704	IDA,IDA	FTSJ1,WDR6	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00955532419017253	2	50	2	0.04	1	plasma_membrane_GO:0021823	GO:BP	cerebral cortex tangential migration using cell-cell interactions	21026	6365	IDA,IDA	ROBO1,SLIT2	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00955532419017253	2	50	2	0.04	1	plasma_membrane_GO:0021836	GO:BP	chemorepulsion involved in postnatal olfactory bulb interneuron migration	21026	6378	IDA,IDA	ROBO1,SLIT2	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00955532419017253	2	50	2	0.04	1	plasma_membrane_GO:0021825	GO:BP	substrate-dependent cerebral cortex tangential migration	21026	6367	IDA,IDA	ROBO1,SLIT2	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.0103334709141092	2965	50	20	0.4	0.00674536256323777	plasma_membrane_GO:0035556	GO:BP	intracellular signal transduction	21026	9022	IDA ISS IEA,NAS,IDA IMP,IMP IEA,HMP,IDA IBA TAS IEA,IBA TAS IEA,IDA,IDA IBA TAS IEA,IDA IMP ISS IEA,IDA IMP,IDA IBA IEA,IBA IEA,IBA,IDA IBA IEA,IMP,IMP,IMP,IDA,IMP IBA	AIDA,DCBLD2,EPHA2,ERBIN,GJA1,HRAS,KRAS,MDFIC,NRAS,PIK3R1,PIK3R2,PLCB1,PLCB4,RALB,RELL1,ROBO1,SH3BP4,SLC19A1,SLIT2,TNFAIP1	plasma_membrane	ARAF
