inflammation	arthritis	hypertensive_disease	ischemia	rasopathies	NRASQ61R	Hydrops Fetalis	Hypertrophic Cardiomyopathy	HIV Infections	Vascular anomaly	Epidermal nevus	cholestasis	endometriosis	Gene.names
0	1	0	0	0	0	0	0	0	0	0	0	0	CR1
0	1	0	0	0	0	0	0	0	0	0	0	0	CREM
0	1	0	0	0	0	0	0	0	0	0	0	0	CRHR1
1	0	1	0	0	0	0	0	0	0	0	0	0	CRHR2
0	0	0	1	0	0	0	0	0	0	0	0	0	CRK
1	0	1	1	0	0	0	0	1	0	0	0	0	CRP
0	0	0	0	0	0	0	1	0	0	0	0	0	CRYAB
0	0	0	0	0	0	0	1	0	0	0	0	0	CS
1	0	0	0	0	0	0	0	0	0	0	0	0	CSF2
0	0	0	0	0	0	0	1	0	0	0	0	0	CSRP3
0	0	0	0	0	0	0	1	0	0	0	0	0	CTF1
0	1	0	0	0	0	0	0	0	0	0	0	0	CTLA4
0	0	0	1	0	0	0	0	0	0	0	0	0	CTNNB1
0	0	0	0	0	0	1	0	0	0	0	0	0	CTSA
0	0	0	1	0	0	0	0	0	0	0	0	0	CTSC
0	0	0	0	0	0	0	1	0	0	0	0	0	CTSL
0	1	0	0	0	0	0	0	0	0	0	0	0	CTTN
0	0	0	1	0	0	0	0	0	0	0	0	0	CTTNBP2
0	0	0	1	0	0	0	0	0	0	0	0	0	CUBN
0	0	0	1	0	0	0	0	0	0	0	0	0	CX3CL1
0	0	0	0	0	0	0	0	1	0	0	0	0	CX3CR1
0	1	0	0	0	0	0	0	0	0	0	0	0	CXCL1
0	0	0	1	0	0	0	0	0	0	0	0	0	CXCL10
0	0	0	1	0	0	0	0	1	0	0	0	0	CXCL12
0	0	0	0	0	0	0	0	0	0	0	0	1	CXCL13
0	0	0	0	0	0	0	0	0	0	0	0	1	CXCL14
1	0	1	1	0	0	0	0	0	0	0	0	0	CXCL2
0	0	0	0	0	0	0	0	0	0	0	0	1	CXCL9
0	0	0	0	0	0	0	0	1	0	0	0	0	CXCR1
0	1	1	0	0	0	0	0	0	0	0	0	0	CXCR2
1	0	0	0	0	0	0	0	0	0	0	0	0	CXCR3
0	1	0	0	0	0	0	0	0	0	0	0	0	CXCR4
0	0	0	0	0	0	0	0	0	0	0	0	1	CYB5A
0	0	1	1	0	0	0	0	0	0	0	0	0	CYBA
0	0	1	0	0	0	0	0	0	0	0	0	0	CYBB
0	0	0	0	0	0	0	0	0	0	0	1	0	CYGB
