diseaseName	diseaseUMLSCUI	source	numGenesAssociatedToDisease	intersection	intersectionSize	geneRatio	bgRatio	pvalue	totalGenesSource	p_adjusted	query	bait	method	type
Cardiomyopathy, Dilated	C0007193	CURATED	259	HCN4,LZTR1,PRKCB,ACTA1,RAF1,NEBL,CS,BRAF	8	8/237	8/14132	0.145854183732579	14132	0.288193808821	combined_HrasG13R	HrasG13R	combined	Active
Pre-Eclampsia	C0032914	CURATED	42	FLT1,ANXA5,F5	3	3/237	3/14132	0.156272377391549	14132	0.303955205296573	combined_HrasG13R	HrasG13R	combined	Active
Colorectal Neoplasms	C0009404	CURATED	363	YAP1,KRAS,PIK3CD,ABCB11,PIK3CA,PRKCB,NRAS,SFRP5,BRAF,TFPI2	10	10/237	10/14132	0.157537758842736	14132	0.303955205296573	combined_HrasG13R	HrasG13R	combined	Active
Malignant neoplasm of large intestine	C0346629	CURATED	173	KRAS,PIK3R1,PIK3CA,BRAF,PIK3CD,NRAS	6	6/237	6/14132	0.165793201684806	14132	0.316163779957071	combined_HrasG13R	HrasG13R	combined	Active
Thyroid Neoplasm	C0040136	CURATED	45	BRAF,HRAS,KRAS	3	3/237	3/14132	0.174114271198334	14132	0.323255568919942	combined_HrasG13R	HrasG13R	combined	Active
Malignant neoplasm of upper lobe, bronchus or lung	C0024624	CURATED	87	PIK3CA,KRAS,MPO,BRAF	4	4/237	4/14132	0.179367419339724	14132	0.323255568919942	combined_HrasG13R	HrasG13R	combined	Active
Malignant neoplasm of middle lobe, bronchus or lung	C0153491	CURATED	87	KRAS,MPO,BRAF,PIK3CA	4	4/237	4/14132	0.179367419339724	14132	0.323255568919942	combined_HrasG13R	HrasG13R	combined	Active
Malignant neoplasm of lower lobe, bronchus or lung	C0153492	CURATED	87	PIK3CA,KRAS,MPO,BRAF	4	4/237	4/14132	0.179367419339724	14132	0.323255568919942	combined_HrasG13R	HrasG13R	combined	Active
Malignant neoplasm of other parts of bronchus or lung	C0153493	CURATED	87	KRAS,PIK3CA,MPO,BRAF	4	4/237	4/14132	0.179367419339724	14132	0.323255568919942	combined_HrasG13R	HrasG13R	combined	Active
Adenocarcinoma of large intestine (disorder)	C1319315	CURATED	88	PRKCB,ARAF,BRAF,EPHA7	4	4/237	4/14132	0.183563535405705	14132	0.327221954418866	combined_HrasG13R	HrasG13R	combined	Active
