ERK_prey_protein	in IntAct	this study	ERK relationship in Signor	OpenCell	BioPlex	Kolch	Gstaiger
AUNIP	0	1	0	0	0	0	0
YY1AP1	0	1	0	0	0	0	0
AGO3	0	1	0	0	0	0	0
FBRS	0	1	0	0	0	0	0
CLSPN	0	1	0	0	0	0	0
TNRC6C	0	1	0	0	0	0	0
PALMD	0	1	0	0	0	0	0
HPS4	0	1	0	0	0	0	0
DIAPH3	0	1	0	0	0	0	0
ECHDC1	0	1	0	0	0	0	0
GTSE1	0	1	0	0	0	0	0
ERRFI1	0	1	0	0	0	0	0
CDC42EP3	0	1	0	0	0	0	0
AGO2	0	1	0	0	0	0	0
AGO1	0	1	0	0	0	0	0
ATXN7L1	0	1	0	0	0	0	0
TNRC6B	0	1	0	0	0	0	0
LEMD3	0	1	0	0	0	0	0
