GENE.NAMES	set_WT	set_Inactive	set_Active
ST3GAL5	missing	missing	MEK2
STAM	MEK1	common	MEK2
STIP1	missing	missing	MEK2
STK11	missing	missing	MEK2
STK33	missing	missing	common
STMN2	missing	missing	MEK2
STOM	missing	MEK2	MEK2
STRAP	missing	missing	MEK2
SUGT1	missing	missing	MEK2
SV2A	missing	missing	MEK2
SVIL	missing	missing	MEK2
SYAP1	missing	missing	MEK2
SYN1	missing	missing	MEK2
SYN3	missing	missing	MEK2
SYNGR3	missing	missing	MEK2
SYNJ1	missing	missing	MEK2
SYNJ2BP	missing	missing	MEK2
SYNPO	missing	missing	common
SYT14	missing	missing	MEK2
SYTL2	missing	missing	MEK2
SYTL5	missing	missing	MEK2
TAB2	missing	missing	MEK2
TAC1	missing	missing	common
TACC3	missing	missing	MEK2
TAGLN	missing	missing	MEK2
TAGLN2	missing	missing	MEK2
TAP2	missing	missing	MEK2
TAX1BP3	MEK1	common	MEK2
TDG	missing	missing	MEK1
TFPI	missing	missing	MEK1
TFPI2	missing	MEK1	common
TFRC	missing	missing	MEK2
TGFB1	missing	missing	common
THBD	missing	missing	MEK1
THBS1	MEK1	missing	missing
THSD1	missing	missing	MEK2
TIMM10	missing	MEK2	MEK2
TIMM22	missing	missing	MEK2
TIMP1	missing	missing	common
TJP1	missing	missing	MEK2
TJP2	missing	missing	MEK2
TLCD3A	missing	missing	MEK2
TM9SF3	missing	missing	MEK2
TMEFF2	missing	common	missing
TMEM102	missing	MEK2	MEK2
