Majority protein IDs	Gene_name_canonical	graph_localization_annotation	umap_1	umap_2	3D_umap_1	3D_umap_2	3D_umap_3
O60749;Q53GG3;B3KN57;B3KML1	SNX2	early_endosome	-11.800602	-4.1208596	10.073721	5.6398225	5.0668635
Q96L92;A0A2R8Y8A7;A0A5H1ZRP6	SNX27	early_endosome	-11.851831	-3.7854123	10.581933	5.230573	4.712847
Q9UNH7;A8K885;G3V5X9	SNX6	early_endosome	-11.814023	-4.06423	10.187327	5.602718	5.0839944
A0A024R0X0;Q9UMZ2	SYNRG	early_endosome	-11.574072	-3.9542375	10.012057	5.424526	5.2938595
Q8N353	TMEM106B	early_endosome	-12.090974	-3.9349172	10.492152	5.5802207	4.8592257
Q9BVX2;A0A087WYD4;F8VVN7;F8W098;H0YIA4;F8W120;F8VWX5	TMEM106C	early_endosome	-11.473572	-4.2430124	9.998516	5.1783137	4.8429356
A0A024R967;B1ALM5;B4E1H4;Q9P0T7;Q6IAJ3;Q6FIF9	TMEM9	early_endosome	-11.79681	-4.2729363	10.05327	5.662784	4.998469
A0A024R165;Q14142;A0A024R143	TRIM14	early_endosome	-11.677565	-4.43269	10.040699	5.3227797	4.4659166
Q08AM6	VAC14	early_endosome	-11.834081	-3.813973	10.511232	5.2091217	4.72046
A0A024R061;P51809;B2R6P4;B4DIH9;A0A024R074;B4DE96	VAMP7	early_endosome	-11.827275	-3.9858239	10.357162	5.3669233	4.9349346
O75436;B4DLT1;S4R3Q6	VPS26A	early_endosome	-11.82546	-3.8802624	10.502245	5.2240567	4.691355
Q9UBQ0;A0A384MR19;F8VXU5	VPS29	early_endosome	-11.8895445	-3.8140213	10.52753	5.2552485	4.737323
Q96QK1	VPS35	early_endosome	-11.885464	-3.8420541	10.488027	5.2734094	4.7597246
Q9NRW7;A0A2R8YD95;A0A2R8YE10;B7Z360;A0A087WU65;B7Z5E4;A0A1B0GXI6;A0A2R8YF01;B7Z1J7;A0AR27;B7Z5D4;Q5T4Q0	VPS45	early_endosome	-11.816364	-4.138365	10.145891	5.647484	5.0353646
A9QQ22;A9QQ23	WASH	early_endosome	-11.883331	-3.811039	10.478844	5.321368	4.764151
C4AMC7;Q6VEQ5;Q9NSV7;Q7Z3N4;A9QQ21	WASH3P	early_endosome	-11.60655	-4.001824	10.391342	5.1211934	4.5545144
Q641Q2;F8W7U3;E7ESD2	WASHC2A	early_endosome	-11.812429	-3.8144064	10.563287	5.199147	4.6986423
Q53EL1;Q12768;E7EQI7;B4DLF2	WASHC5	early_endosome	-11.589062	-4.0062175	10.420034	5.109192	4.5709877
Q9Y4E6	WDR7	early_endosome	-11.514425	-4.208719	10.02241	5.3446035	4.9497786
A4D1P6;C9J1X0	WDR91	early_endosome	-11.431745	-5.3778315	9.341897	5.545928	3.975247
