bait	prey	significant	HCDP	subcell_localization	logFC_APMS	padj_APMS	logFC_TbID	padj_TbID	method
KrasG12D	PIK3R1	shared	yes	plasma_membrane	1.03961158618417	1.07444199188435e-07	0.696840100417038	2.58328103979058e-06	Both
Raf1WT	PIK3R1	shared	yes	plasma_membrane	1.16730232227421	5.42856812366251e-08	0.538247686072096	2.35923052572391e-08	Both
HrasQ61R	PIK3R1	core	yes	plasma_membrane	1.16844406299975	2.16795664641207e-05	1.0441600362627	7.21162151098759e-09	Both
Raf1D486A	PIK3R1	core	yes	plasma_membrane	2.09902551278814	3.06205928784651e-10	0.989242278476842	1.04244098091275e-10	Both
Raf1S259F	PIK3R1	shared	yes	plasma_membrane	1.26998318970316	3.03014938300681e-06	0.654633334555307	7.61218859681536e-09	Both
KrasG12V	PIK3R1	shared	yes	plasma_membrane	0.820642273101566	1.91532656290387e-07	0.60808093601706	1.20476503812736e-06	Both
ArafWT	PIK3R1	core	yes	plasma_membrane	1.34916141621731	6.00787812336539e-09	0.842278032671471	7.7013006122306e-10	Both
NrasQ61R	PIK3R2	core	yes	plasma_membrane	1.17531192464311	4.83123432497766e-08	2.47964218454336	4.91626696055573e-12	Both
ArafWT	PIK3R2	shared	yes	plasma_membrane	1.56920016885048	1.2612720474872e-10	0.67876850136332	6.34608186137465e-09	Both
KrasG12D	PIK3R2	shared	yes	plasma_membrane	0.865182819486922	4.30468308429405e-07	0.639530205828848	1.64288426173819e-05	Both
KrasG12V	PIK3R2	shared	yes	plasma_membrane	0.733601560564933	7.51292978003385e-08	0.623634177547947	2.61770030642467e-06	Both
Raf1S257L	PIK3R2	shared	yes	plasma_membrane	1.4077806985257	3.23396725115986e-10	0.13232515211074	0.0203454855708723	Both
Raf1D486A	PIK3R2	shared	yes	plasma_membrane	1.70721334182037	3.06205928784651e-10	0.55203003498615	2.3002247289468e-08	Both
ArafWT	PIK3R3	core	no	actin_cytoskeleton	1.85366688504563	6.19293933173076e-10	1.36655573314123	9.1312686310433e-10	Both
ArafS214P	PIK3R3	shared	no	actin_cytoskeleton	1.08727745304819	1.04820626303442e-06	1.17140292335814	6.44805515613485e-09	Both
HrasQ61R	PIK3R3	shared	no	actin_cytoskeleton	0.537609365190386	0.00130711096316764	0.841121309969481	3.24755343633388e-07	Both
Raf1D486A	PIK3R3	core	no	actin_cytoskeleton	2.27496652553928	5.08794807332522e-10	1.37326970675973	4.88188489205106e-10	Both
NrasQ61R	PIK3R3	TbID	no	actin_cytoskeleton	0.134690919192496	0.415983501813268	0.916684936523879	1.5395320978057e-07	Both
ERK2WT	PIK3R3	shared	no	actin_cytoskeleton	0.320095194509302	0.00659921795895869	0.864480542016099	2.87891556784063e-07	Both
Raf1S257L	PIK3R3	core	no	actin_cytoskeleton	2.27215564772957	7.20348254967668e-11	1.17252001795122	2.98352484178325e-09	Both
Raf1S259F	PIK3R3	core	no	actin_cytoskeleton	1.45187212499028	1.48238747183575e-05	0.889586545198933	4.73963369039293e-08	Both
Raf1WT	PIK3R3	core	no	actin_cytoskeleton	1.46118433114298	9.72881729920426e-08	0.995708124603512	1.28980924620206e-08	Both
ERK1WT	PIK3R3	TbID	no	actin_cytoskeleton	-0.0268174217938867	0.838086401322514	0.889348723771177	2.81412848836526e-07	Both
ArafD447A	PIK3R3	core	no	actin_cytoskeleton	2.14192232445798	7.33902795185095e-11	1.65202511665711	6.07922880368961e-11	Both
MEK1DD	PIM1	AP-MS	no	NA	1.04671424938893	8.09770399503075e-05	NA	NA	AP-MS
MEK1DD	PIN1	AP-MS	yes	cytosol	1.35192687697961	1.22714528287052e-07	-0.000239092198962233	0.997034860369755	AP-MS
MEK1AA	PIN1	AP-MS	yes	cytosol	1.21582584760674	7.80932131344144e-07	0.0648226704741743	0.321275840692769	AP-MS
MEK1WT	PIN1	AP-MS	yes	cytosol	1.32283463676603	1.13124673777888e-06	-0.0314944389345029	0.648087859646234	AP-MS
ERK1DD	PINX1	TbID	no	nucleolus	0.295764707918213	0.573833252529246	0.997463126542636	7.05633341549004e-07	TbID
ERK2WT	PINX1	TbID	no	nucleolus	-0.313908819451468	0.513409431082898	1.13486748285622	1.28078707645629e-07	TbID
ERK1WT	PINX1	TbID	no	nucleolus	-0.104416572193718	0.848305759550602	1.27569416060829	1.80994485120088e-07	TbID
Raf1S259F	PIP5K1A	shared	no	actin_cytoskeleton	0.69696390303989	0.000117804431871772	0.852032381278283	6.0837929722882e-09	TbID
ArafWT	PJA1	AP-MS	no	cytosol	1.66512788046296	3.50265265961685e-07	0.17193922449776	0.0636286077129951	AP-MS
ArafS214P	PJA1	shared	no	cytosol	1.86133341868884	4.54300262797539e-07	0.333345019432111	0.00107682207449966	AP-MS
ArafD447A	PJA1	AP-MS	no	cytosol	1.1650803847326	1.29602725267323e-05	-0.129897594490771	0.12625889534418	AP-MS
